"",BBK01.OEAD16N,BBK01.OEAD16N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:29,
2002-01,2.393,
2002-04,2.160,
2002-07,2.150,
2002-10,1.982,
2003-01,1.965,
2003-04,1.997,
2003-07,2.066,
2003-10,1.885,
2004-01,1.847,
2004-04,1.954,
2004-07,1.857,
2004-10,1.721,
2005-01,1.813,
2005-04,1.795,
2005-07,1.710,
2005-10,1.453,
2006-01,1.658,
2006-04,1.664,
2006-07,1.785,
2006-10,1.544,
2007-01,1.607,
2007-04,1.748,
2007-07,1.635,
2007-10,1.816,
2008-01,2.403,
2008-04,2.487,
2008-07,2.366,
2008-10,2.308,
2009-01,1.881,
2009-04,2.559,
2009-07,1.746,
2009-10,1.447,
2010-01,1.614,
2010-04,1.469,
2010-07,1.411,
2010-10,1.341,
2011-01,1.634,
2011-04,1.708,
2011-07,1.696,
2011-10,1.551,
2012-01,1.679,
2012-04,1.768,
2012-07,1.709,
2012-10,1.548,
2013-01,1.636,
2013-04,1.682,
2013-07,1.709,
2013-10,1.545,
2014-01,1.786,
2014-04,1.962,
2014-07,1.968,
