"",BBK01.OEAE14N,BBK01.OEAE14N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:38,
2002-01,0.660,
2002-04,0.661,
2002-07,0.669,
2002-10,0.649,
2003-01,0.639,
2003-04,0.608,
2003-07,0.634,
2003-10,0.650,
2004-01,0.641,
2004-04,0.633,
2004-07,0.606,
2004-10,0.568,
2005-01,0.570,
2005-04,0.498,
2005-07,0.462,
2005-10,0.456,
2006-01,0.476,
2006-04,0.435,
2006-07,0.445,
2006-10,0.445,
2007-01,0.445,
2007-04,0.396,
2007-07,0.395,
2007-10,0.386,
2008-01,0.388,
2008-04,0.364,
2008-07,0.365,
2008-10,0.340,
2009-01,0.362,
2009-04,0.349,
2009-07,0.330,
2009-10,0.313,
2010-01,0.339,
2010-04,0.315,
2010-07,0.303,
2010-10,0.305,
2011-01,0.315,
2011-04,0.296,
2011-07,0.287,
2011-10,0.272,
2012-01,0.291,
2012-04,0.287,
2012-07,0.285,
2012-10,0.274,
2013-01,0.302,
2013-04,0.283,
2013-07,0.271,
2013-10,0.260,
2014-01,0.268,
2014-04,0.265,
2014-07,0.267,
