"",BBK01.OEHB21T,BBK01.OEHB21T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:27,
2002-01,0.809,
2002-04,0.827,
2002-07,0.845,
2002-10,0.856,
2003-01,0.976,
2003-04,0.974,
2003-07,1.053,
2003-10,1.135,
2004-01,1.187,
2004-04,1.301,
2004-07,1.403,
2004-10,1.408,
2005-01,1.417,
2005-04,1.478,
2005-07,1.501,
2005-10,1.585,
2006-01,1.609,
2006-04,1.725,
2006-07,1.874,
2006-10,1.910,
2007-01,2.029,
2007-04,2.108,
2007-07,2.089,
2007-10,2.229,
2008-01,2.105,
2008-04,2.054,
2008-07,1.979,
2008-10,2.204,
2009-01,1.898,
2009-04,1.856,
2009-07,1.795,
2009-10,1.845,
2010-01,1.850,
2010-04,1.766,
2010-07,1.781,
2010-10,1.717,
2011-01,1.733,
2011-04,1.690,
2011-07,1.665,
2011-10,1.637,
2012-01,1.658,
2012-04,1.573,
2012-07,1.573,
2012-10,1.534,
2013-01,1.501,
2013-04,1.438,
2013-07,1.507,
2013-10,1.442,
2014-01,1.529,
2014-04,1.512,
2014-07,1.535,
