"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.AU.00000.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.AU.00000.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / Australia,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:30,
2009-09,608,
2009-10,609,
2009-11,681,
2009-12,612,
2010-01,528,
2010-02,522,
2010-03,591,
2010-04,609,
2010-05,594,
2010-06,557,
2010-07,550,
2010-08,509,
2010-09,524,
2010-10,526,
2010-11,543,
2010-12,541,
2011-01,524,
2011-02,531,
2011-03,525,
2011-04,541,
2011-05,549,
2011-06,479,
2011-07,462,
2011-08,453,
2011-09,439,
2011-10,444,
2011-11,442,
2011-12,484,
2012-01,489,
2012-02,553,
2012-03,622,
2012-04,580,
2012-05,614,
2012-06,613,
2012-07,668,
2012-08,663,
2012-09,687,
2012-10,647,
2012-11,623,
2012-12,590,
2013-01,584,
2013-02,589,
2013-03,612,
2013-04,638,
2013-05,684,
2013-06,641,
2013-07,673,
2013-08,682,
2013-09,735,
2013-10,785,
2013-11,825,
2013-12,805,
2014-01,790,
2014-02,781,
2014-03,787,
2014-04,836,
2014-05,862,
2014-06,903,
2014-07,970,
2014-08,967,
2014-09,1014,
2014-10,1065,
2014-11,1030,
