"",BBK01.OELB08Q,BBK01.OELB08Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:57,
2002-01,5.230,
2002-04,5.314,
2002-07,5.388,
2002-10,5.482,
2003-01,5.487,
2003-04,5.594,
2003-07,5.666,
2003-10,5.774,
2004-01,5.786,
2004-04,5.850,
2004-07,5.951,
2004-10,6.059,
2005-01,6.103,
2005-04,6.187,
2005-07,6.422,
2005-10,6.612,
2006-01,6.739,
2006-04,7.345,
2006-07,7.416,
2006-10,7.431,
2007-01,7.413,
2007-04,7.474,
2007-07,7.797,
2007-10,7.769,
2008-01,7.844,
2008-04,8.003,
2008-07,8.110,
2008-10,8.364,
2009-01,8.381,
2009-04,8.532,
2009-07,8.806,
2009-10,9.049,
2010-01,9.180,
2010-04,9.409,
2010-07,9.642,
2010-10,9.893,
2011-01,9.968,
2011-04,10.184,
2011-07,10.354,
2011-10,10.543,
2012-01,10.670,
2012-04,11.381,
2012-07,11.521,
2012-10,11.691,
2013-01,11.855,
2013-04,12.042,
2013-07,12.247,
2013-10,12.472,
2014-01,12.508,
2014-04,12.638,
2014-07,12.909,
