"",BBK01.OECO02O,BBK01.OECO02O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:33,
2002-01,0.187,
2002-04,0.137,
2002-07,0.097,
2002-10,0.153,
2003-01,0.187,
2003-04,0.128,
2003-07,0.277,
2003-10,0.186,
2004-01,0.213,
2004-04,0.175,
2004-07,0.311,
2004-10,0.228,
2005-01,0.390,
2005-04,0.317,
2005-07,0.263,
2005-10,0.284,
2006-01,0.375,
2006-04,0.324,
2006-07,0.311,
2006-10,0.336,
2007-01,0.516,
2007-04,0.324,
2007-07,0.299,
2007-10,0.343,
2008-01,0.385,
2008-04,0.412,
2008-07,0.239,
2008-10,0.412,
2009-01,0.443,
2009-04,0.450,
2009-07,0.522,
2009-10,0.394,
2010-01,0.498,
2010-04,0.306,
2010-07,0.251,
2010-10,0.338,
2011-01,0.358,
2011-04,0.293,
2011-07,0.334,
2011-10,0.292,
2012-01,0.602,
2012-04,0.235,
2012-07,0.281,
2012-10,0.292,
2013-01,0.388,
2013-04,0.220,
2013-07,0.176,
2013-10,0.169,
2014-01,0.148,
2014-04,0.106,
2014-07,0.291,
