"",BBK01.OEAD18M,BBK01.OEAD18M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:13,
2002-01,0.612,
2002-04,0.557,
2002-07,0.550,
2002-10,0.512,
2003-01,0.511,
2003-04,0.471,
2003-07,0.484,
2003-10,0.388,
2004-01,0.410,
2004-04,0.408,
2004-07,0.396,
2004-10,0.362,
2005-01,0.404,
2005-04,0.392,
2005-07,0.401,
2005-10,0.318,
2006-01,0.349,
2006-04,0.382,
2006-07,0.373,
2006-10,0.333,
2007-01,0.329,
2007-04,0.346,
2007-07,0.343,
2007-10,0.387,
2008-01,0.413,
2008-04,0.413,
2008-07,0.398,
2008-10,0.370,
2009-01,0.398,
2009-04,0.401,
2009-07,0.377,
2009-10,0.330,
2010-01,0.359,
2010-04,0.354,
2010-07,0.367,
2010-10,0.327,
2011-01,0.354,
2011-04,0.357,
2011-07,0.371,
2011-10,0.332,
2012-01,0.372,
2012-04,0.370,
2012-07,0.356,
2012-10,0.284,
2013-01,0.305,
2013-04,0.297,
2013-07,0.283,
2013-10,0.275,
2014-01,0.287,
2014-04,0.279,
2014-07,0.262,
