"",BBK01.TUD448,BBK01.TUD448_FLAGS
"",Debt securities issued / of which: with maturities of up to 2 years / German contribution,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:20:34,
1980-01,13509,
1980-02,14182,
1980-03,15276,
1980-04,15974,
1980-05,16388,
1980-06,16528,
1980-07,16993,
1980-08,16931,
1980-09,17227,
1980-10,17204,
1980-11,18299,
1980-12,18118,
1981-01,19642,
1981-02,20568,
1981-03,23767,
1981-04,24796,
1981-05,26384,
1981-06,28225,
1981-07,29549,
1981-08,30523,
1981-09,31461,
1981-10,31906,
1981-11,32525,
1981-12,32500,
1982-01,34363,
1982-02,34699,
1982-03,35395,
1982-04,33204,
1982-05,33375,
1982-06,38412,
1982-07,38581,
1982-08,38866,
1982-09,38888,
1982-10,39117,
1982-11,39529,
1982-12,39878,
1983-01,41053,
1983-02,40825,
1983-03,40400,
1983-04,40498,
1983-05,40685,
1983-06,41013,
1983-07,41303,
1983-08,41168,
1983-09,41510,
1983-10,42571,
1983-11,43002,
1983-12,43697,
1984-01,45993,
1984-02,45835,
1984-03,45542,
1984-04,45721,
1984-05,45589,
1984-06,45315,
1984-07,45678,
1984-08,45655,
1984-09,44577,
1984-10,43490,
1984-11,42708,
1984-12,41082,
1985-01,43206,
1985-02,44254,
1985-03,44979,
1985-04,44481,
1985-05,44643,
1985-06,44169,
1985-07,43699,
1985-08,42075,
1985-09,40433,
1985-10,39676,
1985-11,39173,
1985-12,38056,
1986-01,38207,
1986-02,37109,
1986-03,35916,
1986-04,34499,
1986-05,32701,
1986-06,31035,
1986-07,28885,
1986-08,28148,
1986-09,26003,
1986-10,26119,
1986-11,24282,
1986-12,22106,
1987-01,20066,
1987-02,19113,
1987-03,14582,
1987-04,13499,
1987-05,13307,
1987-06,11883,
1987-07,11366,
1987-08,11765,
1987-09,10964,
1987-10,8721,
1987-11,8723,
1987-12,8555,
1988-01,7716,
1988-02,7438,
1988-03,6924,
1988-04,6346,
1988-05,6672,
1988-06,6489,
1988-07,5830,
1988-08,5836,
1988-09,6153,
1988-10,5774,
1988-11,5997,
1988-12,5466,
1989-01,5709,
1989-02,5508,
1989-03,7316,
1989-04,9630,
1989-05,10792,
1989-06,12842,
1989-07,13750,
1989-08,14284,
1989-09,14278,
1989-10,14755,
1989-11,15016,
1989-12,14633,
1990-01,17956,
1990-02,18902,
1990-03,19498,
1990-04,19062,
1990-05,18491,
1990-06,19337,
1990-07,17461,
1990-08,17658,
1990-09,18038,
1990-10,19141,
1990-11,19247,
1990-12,18754,
1991-01,19724,
1991-02,19975,
1991-03,20291,
1991-04,20028,
1991-05,19577,
1991-06,19311,
1991-07,19546,
1991-08,19579,
1991-09,19337,
1991-10,19420,
1991-11,19915,
1991-12,20614,
1992-01,21972,
1992-02,22233,
1992-03,21698,
1992-04,20260,
1992-05,21866,
1992-06,22992,
1992-07,23734,
1992-08,24135,
1992-09,25988,
1992-10,26242,
1992-11,29219,
1992-12,27638,
1993-01,28050,
1993-02,29478,
1993-03,29313,
1993-04,29869,
1993-05,32251,
1993-06,35472,
1993-07,35095,
1993-08,35443,
1993-09,35166,
1993-10,38047,
1993-11,38395,
1993-12,43710,
1994-01,46822,
1994-02,48010,
1994-03,49485,
1994-04,49704,
1994-05,47483,
1994-06,50271,
1994-07,50483,
1994-08,51549,
1994-09,49609,
1994-10,51820,
1994-11,50946,
1994-12,41852,
1995-01,42280,
1995-02,42784,
1995-03,43078,
1995-04,43930,
1995-05,43936,
1995-06,46057,
1995-07,35647,
1995-08,35858,
1995-09,34175,
1995-10,35080,
1995-11,36242,
1995-12,35966,
1996-01,43094,
1996-02,42981,
1996-03,43598,
1996-04,35651,
1996-05,34188,
1996-06,33913,
1996-07,31713,
1996-08,32309,
1996-09,29451,
1996-10,29217,
1996-11,28201,
1996-12,27828,
1997-01,30076,
1997-02,30943,
1997-03,29521,
1997-04,30906,
1997-05,30904,
1997-06,30434,
1997-07,31270,
1997-08,31109,
1997-09,32032,
1997-10,31993,
1997-11,32112,
1997-12,31955,
1998-01,32781,
1998-02,35364,
1998-03,36103,
1998-04,35000,
1998-05,35970,
1998-06,36917,
1998-07,38969,
1998-08,39777,
1998-09,40111,
1998-10,41103,
1998-11,44134,
1998-12,41001,
1999-01,30654,
1999-02,33520,
1999-03,36085,
1999-04,45416,
1999-05,51628,
1999-06,51866,
1999-07,52950,
1999-08,56427,
1999-09,64729,
1999-10,73939,
1999-11,92268,
1999-12,97420,
2000-01,93422,
2000-02,100897,
2000-03,105555,
2000-04,107554,
2000-05,110870,
2000-06,115893,
2000-07,119597,
2000-08,119112,
2000-09,114270,
2000-10,113782,
2000-11,109683,
2000-12,113309,
2001-01,111510,
2001-02,112428,
2001-03,113823,
2001-04,116310,
2001-05,117446,
2001-06,117953,
2001-07,123687,
2001-08,123540,
2001-09,125588,
2001-10,126652,
2001-11,123816,
2001-12,129312,
2002-01,122195,
2002-02,125405,
2002-03,129023,
2002-04,133074,
2002-05,134626,
2002-06,133102,
2002-07,133698,
2002-08,135945,
2002-09,136972,
2002-10,137520,
2002-11,148198,
2002-12,141766,
2003-01,138906,
2003-02,145737,
2003-03,143384,
2003-04,142627,
2003-05,133258,
2003-06,128720,
2003-07,133010,
2003-08,122104,
2003-09,124434,
2003-10,126213,
2003-11,131460,
2003-12,131296,
2004-01,128598,
2004-02,127271,
