"",BBK01.BQ2902,BBK01.BQ2902_FLAGS
"","Central, state and local government - budgetary accounts (Germany as a whole) - tax revenue",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:35:01,
1991-01,73987,
1991-04,77810,
1991-07,87104,
1991-10,99533,
1992-01,89668,
1992-04,89445,
1992-07,92602,
1992-10,102416,
1993-01,89929,
1993-04,91186,
1993-07,94193,
1993-10,107711,
1994-01,97943,
1994-04,94656,
1994-07,97041,
1994-10,112318,
1995-01,99694,
1995-04,96162,
1995-07,102461,
1995-10,118132,
1996-01,97973,
1996-04,96608,
1996-07,98816,
1996-10,115297,
1997-01,95652,
1997-04,95821,
1997-07,98564,
1997-10,117647,
1998-01,96256,
1998-04,101792,
1998-07,104682,
1998-10,123466,
1999-01,100031,
1999-04,109926,
1999-07,112263,
1999-10,130439,
2000-01,104899,
2000-04,118427,
2000-07,113949,
2000-10,129985,
2001-01,105129,
2001-04,110919,
2001-07,109522,
2001-10,121263,
2002-01,98552,
2002-04,105050,
2002-07,109359,
2002-10,129008,Provisional value
2003-01,96306,Provisional value
2003-04,108916,Provisional value
2003-07,109630,Provisional value
2003-10,127464,Provisional value
2004-01,96884,Provisional value
2004-04,112891,Provisional value
2004-07,107796,Provisional value
2004-10,125628,Provisional value
2005-01,99181,Provisional value
2005-04,112524,Provisional value
2005-07,110562,Provisional value
2005-10,129665,Provisional value
2006-01,106332,Provisional value
2006-04,121844,Provisional value
2006-07,121819,Provisional value
2006-10,138674,Provisional value
2007-01,122310,Provisional value
2007-04,136888,Provisional value
2007-07,131583,Provisional value
2007-10,147566,Provisional value
2008-01,130784,Provisional value
2008-04,143473,Provisional value
2008-07,137189,Provisional value
2008-10,149361,Provisional value
2009-01,128741,Provisional value
2009-04,130583,Provisional value
2009-07,124352,Provisional value
2009-10,140282,Provisional value
2010-01,121559,Provisional value
2010-04,134909,Provisional value
2010-07,127562,Provisional value
2010-10,147591,Provisional value
2011-01,134851,Provisional value
2011-04,145589,Provisional value
2011-07,136572,Provisional value
2011-10,156267,Provisional value
2012-01,142886,Provisional value
2012-04,150354,Provisional value
2012-07,147453,Provisional value
2012-10,159443,Provisional value
2013-01,148617,Provisional value
2013-04,155340,Provisional value
2013-07,151825,Provisional value
2013-10,164222,Provisional value
2014-01,153581,Provisional value
2014-04,157391,Provisional value
