"",BBSF2.M.1.T.00000.GEF01.I.F.BGH.DE.00122.000000.EUR.00,BBSF2.M.1.T.00000.GEF01.I.F.BGH.DE.00122.000000.EUR.00_FLAGS
"",Funds total / Mixed funds / Deposits and loan claims / Germany / Monetary financial institutes (MFIs) / Denominated in Euro,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:01,
2009-09,15730,
2009-10,15385,
2009-11,14147,
2009-12,12244,
2010-01,13108,
2010-02,13210,
2010-03,10611,
2010-04,11189,
2010-05,12631,
2010-06,11364,
2010-07,12152,
2010-08,11745,
2010-09,12123,
2010-10,11507,
2010-11,11009,
2010-12,10113,
2011-01,11170,
2011-02,10614,
2011-03,11350,
2011-04,11177,
2011-05,10908,
2011-06,11953,
2011-07,12569,
2011-08,14313,
2011-09,15437,
2011-10,14434,
2011-11,14640,
2011-12,13327,
2012-01,13431,
2012-02,12136,
2012-03,12073,
2012-04,13186,
2012-05,12698,
2012-06,12749,
2012-07,12873,
2012-08,13217,
2012-09,12903,
2012-10,12203,
2012-11,12964,
2012-12,12490,
2013-01,13277,
2013-02,12252,
2013-03,11391,
2013-04,11191,
2013-05,10819,
2013-06,13303,
2013-07,12509,
2013-08,11827,
2013-09,11743,
2013-10,12684,
2013-11,10522,
2013-12,11462,
2014-01,12008,
2014-02,11540,
2014-03,11648,
2014-04,12053,
2014-05,12480,
2014-06,12413,
2014-07,12123,
2014-08,10553,
2014-09,10081,
2014-10,10822,
2014-11,10285,
