"",BBK01.OELO04U,BBK01.OELO04U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:16:07,
2002-01,0.007,
2002-04,-0.031,
2002-07,0.008,
2002-10,0.019,
2003-01,0.022,
2003-04,-0.019,
2003-07,0.012,
2003-10,-0.008,
2004-01,0.013,
2004-04,-0.015,
2004-07,0.004,
2004-10,0.011,
2005-01,0.004,
2005-04,-0.023,
2005-07,-0.010,
2005-10,-0.015,
2006-01,0.006,
2006-04,-0.026,
2006-07,-0.014,
2006-10,-0.034,
2007-01,-0.036,
2007-04,-0.028,
2007-07,-0.023,
2007-10,-0.047,
2008-01,-0.018,
2008-04,-0.051,
2008-07,-0.057,
2008-10,-0.032,
2009-01,0.028,
2009-04,0.004,
2009-07,0.046,
2009-10,0.078,
2010-01,0.028,
2010-04,0.017,
2010-07,-0.009,
2010-10,-0.014,
2011-01,-0.018,
2011-04,-0.026,
2011-07,-0.015,
2011-10,-0.007,
2012-01,0.010,
2012-04,0.024,
2012-07,0.034,
2012-10,0.014,
2013-01,0.051,
2013-04,-0.004,
2013-07,-0.004,
2013-10,-0.025,
2014-01,-0.024,
2014-04,-0.013,
2014-07,-0.014,
