"",BBK01.SUD104,BBK01.SUD104_FLAGS
"",Effective interest rates of German banks / New business / Households' deposits with an agreed maturity of over 2 years,
unit,% p.a. (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-03 10:26:45,
2003-01,3.52,
2003-02,3.17,
2003-03,2.99,
2003-04,2.99,
2003-05,2.92,
2003-06,2.82,
2003-07,2.63,
2003-08,2.68,
2003-09,2.73,
2003-10,2.93,
2003-11,3.04,
2003-12,2.91,
2004-01,3.15,
2004-02,2.86,
2004-03,2.66,
2004-04,2.76,
2004-05,2.74,
2004-06,2.71,
2004-07,2.86,
2004-08,3.12,
2004-09,2.78,
2004-10,3.03,
2004-11,3.04,
2004-12,2.59,
2005-01,2.89,
2005-02,2.69,
2005-03,2.76,
2005-04,2.61,
2005-05,2.49,
2005-06,2.25,
2005-07,2.35,
2005-08,2.17,
2005-09,2.16,
2005-10,2.37,
2005-11,2.50,
2005-12,2.35,
2006-01,2.69,
2006-02,2.60,
2006-03,2.46,
2006-04,2.55,
2006-05,2.63,
2006-06,2.55,
2006-07,2.90,
2006-08,2.78,
2006-09,2.54,
2006-10,2.82,
2006-11,2.58,
2006-12,2.67,
2007-01,2.98,
2007-02,2.84,
2007-03,2.76,
2007-04,2.85,
2007-05,3.00,
2007-06,2.92,
2007-07,3.25,
2007-08,3.23,
2007-09,3.11,
2007-10,3.26,
2007-11,3.26,
2007-12,3.20,
2008-01,3.56,
2008-02,3.22,
2008-03,2.85,
2008-04,3.02,
2008-05,2.83,
2008-06,3.17,
2008-07,3.24,
2008-08,3.63,
2008-09,3.39,
2008-10,3.66,
2008-11,3.87,
2008-12,3.75,
2009-01,3.81,
2009-02,3.40,
2009-03,3.15,
2009-04,3.08,
2009-05,2.88,
2009-06,2.74,
2009-07,2.77,
2009-08,2.83,
2009-09,2.61,
2009-10,2.75,
2009-11,2.80,
2009-12,2.69,
2010-01,2.93,
2010-02,2.80,
2010-03,2.43,
2010-04,2.36,
2010-05,3.16,
2010-06,3.18,
2010-07,2.22,
2010-08,2.13,
2010-09,2.12,
2010-10,2.23,
2010-11,2.16,
2010-12,2.13,
2011-01,2.49,
2011-02,2.67,
2011-03,2.42,
2011-04,2.78,
2011-05,2.81,
2011-06,2.79,
2011-07,2.80,
2011-08,2.80,
2011-09,2.70,
2011-10,2.73,
2011-11,2.83,
2011-12,2.77,
2012-01,3.03,
2012-02,2.96,
2012-03,2.81,
2012-04,2.46,
2012-05,2.33,
2012-06,2.11,
2012-07,2.20,
2012-08,2.08,
2012-09,2.16,
2012-10,1.93,
2012-11,1.83,
2012-12,1.67,
2013-01,1.77,
2013-02,1.68,
2013-03,1.52,
2013-04,1.38,
2013-05,1.53,
2013-06,1.46,
2013-07,1.37,
2013-08,1.36,
2013-09,1.45,
2013-10,1.44,
2013-11,1.58,
2013-12,1.48,
2014-01,1.58,
2014-02,1.34,
2014-03,1.33,
2014-04,1.29,
2014-05,1.33,
2014-06,1.36,
2014-07,1.26,
2014-08,1.11,
2014-09,1.16,
2014-10,1.04,
2014-11,1.18,
2014-12,1.14,Provisional value
"","General: Volume-weighted average rates of all new agreements concluded during the reporting month. The effective interest rates are calculated either as annualised agreed interest rates or as narrowly defined effective rates. Both calculation methods cover all interest payments on deposits and loans but not any other related charges which may occur for enquiries, administration, preparation of the documents, guarantees and credit insurance. p = Provisional",
