"",BBK01.OEAH88Q,BBK01.OEAH88Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:29,
2002-01,1.181,
2002-04,1.022,
2002-07,0.473,
2002-10,0.854,
2003-01,0.745,
2003-04,0.557,
2003-07,0.253,
2003-10,0.296,
2004-01,0.381,
2004-04,0.726,
2004-07,0.256,
2004-10,1.128,
2005-01,1.705,
2005-04,1.636,
2005-07,1.982,
2005-10,2.033,
2006-01,1.693,
2006-04,2.165,
2006-07,1.323,
2006-10,1.201,
2007-01,1.325,
2007-04,1.340,
2007-07,1.293,
2007-10,1.772,
2008-01,1.568,
2008-04,2.760,
2008-07,1.976,
2008-10,2.169,
2009-01,1.351,
2009-04,1.545,
2009-07,1.812,
2009-10,2.336,
2010-01,2.070,
2010-04,2.604,
2010-07,2.767,
2010-10,2.611,
2011-01,2.890,
2011-04,3.038,
2011-07,2.859,
2011-10,2.479,
2012-01,1.656,
2012-04,1.947,
2012-07,2.414,
2012-10,2.130,
2013-01,1.848,
2013-04,1.783,
2013-07,1.214,
2013-10,1.562,
2014-01,1.194,
2014-04,1.286,
2014-07,1.313,
