"",BBSF2.M.1.T.00000.AKT01.I.F.SVB.U201.00000.F33200.Z01.M1,BBSF2.M.1.T.00000.AKT01.I.F.SVB.U201.00000.F33200.Z01.M1_FLAGS
"","Funds total / Equity funds / Long-term debt securities / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:20,
2009-09,11593,
2009-10,11586,
2009-11,10901,
2009-12,11141,
2010-01,10176,
2010-02,9785,
2010-03,10022,
2010-04,9867,
2010-05,9807,
2010-06,9839,
2010-07,10052,
2010-08,10301,
2010-09,9468,
2010-10,9984,
2010-11,9697,
2010-12,8901,
2011-01,8484,
2011-02,8769,
2011-03,9129,
2011-04,9235,
2011-05,9356,
2011-06,9372,
2011-07,9445,
2011-08,9610,
2011-09,9472,
2011-10,9160,
2011-11,8637,
2011-12,9101,
2012-01,9811,
2012-02,10242,
2012-03,10190,
2012-04,10035,
2012-05,9978,
2012-06,9847,
2012-07,10127,
2012-08,9910,
2012-09,9863,
2012-10,10020,
2012-11,10292,
2012-12,10481,
2013-01,10562,
2013-02,10597,
2013-03,10900,
2013-04,11357,
2013-05,11312,
2013-06,11136,
2013-07,11060,
2013-08,11255,
2013-09,11323,
2013-10,11414,
2013-11,11391,
2013-12,11128,
2014-01,11552,
2014-02,11629,
2014-03,11622,
2014-04,13998,
2014-05,14114,
2014-06,14100,
2014-07,14337,
2014-08,14354,
2014-09,14286,
2014-10,11203,
2014-11,11187,
