"",BBSF2.M.1.T.00000.REN01.I.F.WPS.Z5.00000.000000.EUR.00,BBSF2.M.1.T.00000.REN01.I.F.WPS.Z5.00000.000000.EUR.00_FLAGS
"",Funds total / Bonds funds / Securities total / Denominated in Euro,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:25,
2009-09,229313,
2009-10,229835,
2009-11,234173,
2009-12,236991,
2010-01,242135,
2010-02,245433,
2010-03,250674,
2010-04,251902,
2010-05,253811,
2010-06,253057,
2010-07,254097,
2010-08,261396,
2010-09,263023,
2010-10,262989,
2010-11,258084,
2010-12,255443,
2011-01,253564,
2011-02,256209,
2011-03,254160,
2011-04,251626,
2011-05,252235,
2011-06,251129,
2011-07,253377,
2011-08,254070,
2011-09,252942,
2011-10,254065,
2011-11,247486,
2011-12,257104,
2012-01,263327,
2012-02,268977,
2012-03,272545,
2012-04,272818,
2012-05,277984,
2012-06,276422,
2012-07,284669,
2012-08,289696,
2012-09,290571,
2012-10,293286,
2012-11,295955,
2012-12,299734,
2013-01,298325,
2013-02,298639,
2013-03,301987,
2013-04,308071,
2013-05,305055,
2013-06,295941,
2013-07,299384,
2013-08,296853,
2013-09,298521,
2013-10,301493,
2013-11,306799,
2013-12,305857,
2014-01,311508,
2014-02,316433,
2014-03,324939,
2014-04,322638,
2014-05,328610,
2014-06,330725,
2014-07,336440,
2014-08,343552,
2014-09,343999,
2014-10,346058,
2014-11,350365,
