"",BBK01.OEAH40T,BBK01.OEAH40T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:53,
2002-01,0.025,
2002-04,0.026,
2002-07,0.027,
2002-10,0.025,
2003-01,0.024,
2003-04,0.028,
2003-07,0.027,
2003-10,0.029,
2004-01,0.032,
2004-04,0.026,
2004-07,0.025,
2004-10,0.027,
2005-01,0.027,
2005-04,0.032,
2005-07,0.030,
2005-10,0.030,
2006-01,0.030,
2006-04,0.033,
2006-07,0.033,
2006-10,0.032,
2007-01,0.030,
2007-04,0.033,
2007-07,0.031,
2007-10,0.037,
2008-01,0.031,
2008-04,0.028,
2008-07,0.030,
2008-10,0.028,
2009-01,0.046,
2009-04,0.056,
2009-07,0.060,
2009-10,0.065,
2010-01,0.087,
2010-04,0.076,
2010-07,0.075,
2010-10,0.066,
2011-01,0.060,
2011-04,0.059,
2011-07,0.051,
2011-10,0.044,
2012-01,0.054,
2012-04,0.058,
2012-07,0.064,
2012-10,0.066,
2013-01,0.095,
2013-04,0.103,
2013-07,0.105,
2013-10,0.102,
2014-01,0.101,
2014-04,0.101,
2014-07,0.054,
