"",BBK01.OEAJ04T,BBK01.OEAJ04T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:21,
2002-01,1.110,
2002-04,1.081,
2002-07,0.986,
2002-10,1.001,
2003-01,0.923,
2003-04,0.844,
2003-07,0.798,
2003-10,0.899,
2004-01,0.832,
2004-04,0.747,
2004-07,0.775,
2004-10,0.919,
2005-01,0.849,
2005-04,0.805,
2005-07,0.934,
2005-10,0.953,
2006-01,0.908,
2006-04,0.898,
2006-07,0.944,
2006-10,1.148,
2007-01,1.075,
2007-04,1.087,
2007-07,1.214,
2007-10,1.287,
2008-01,1.385,
2008-04,1.387,
2008-07,1.627,
2008-10,1.687,
2009-01,1.190,
2009-04,0.884,
2009-07,0.802,
2009-10,0.706,
2010-01,0.698,
2010-04,0.725,
2010-07,0.713,
2010-10,0.784,
2011-01,0.781,
2011-04,0.809,
2011-07,0.932,
2011-10,1.128,
2012-01,1.064,
2012-04,1.061,
2012-07,1.090,
2012-10,1.098,
2013-01,1.403,
2013-04,0.997,
2013-07,0.963,
2013-10,0.931,
2014-01,0.889,
2014-04,0.927,
2014-07,0.828,
