"",BBK01.OEYB21R,BBK01.OEYB21R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:26,
2002-01,1.180,
2002-04,1.178,
2002-07,1.190,
2002-10,1.296,
2003-01,1.451,
2003-04,1.391,
2003-07,1.385,
2003-10,1.428,
2004-01,1.422,
2004-04,1.427,
2004-07,1.423,
2004-10,1.416,
2005-01,1.383,
2005-04,1.389,
2005-07,1.407,
2005-10,1.380,
2006-01,1.334,
2006-04,1.353,
2006-07,1.306,
2006-10,1.301,
2007-01,0.784,
2007-04,0.768,
2007-07,0.761,
2007-10,0.730,
2008-01,0.768,
2008-04,0.713,
2008-07,1.022,
2008-10,1.061,
2009-01,1.054,
2009-04,1.040,
2009-07,0.990,
2009-10,1.125,
2010-01,1.091,
2010-04,1.087,
2010-07,1.090,
2010-10,1.119,
2011-01,1.168,
2011-04,1.133,
2011-07,1.098,
2011-10,1.120,
2012-01,1.150,
2012-04,1.091,
2012-07,1.102,
2012-10,1.094,
2013-01,1.111,
2013-04,1.086,
2013-07,1.111,
2013-10,1.068,
2014-01,1.067,
2014-04,1.078,
2014-07,1.021,
