"",BBK01.PQK361,BBK01.PQK361_FLAGS
"",Lending to domestic self-employed persons / Long-term / Regional institutions of credit cooperatives,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:24:27,
1968-10,0.032,
1969-01,0.034,
1969-04,0.035,
1969-07,0.037,
1969-10,0.038,
1970-01,0.040,
1970-04,0.042,
1970-07,0.043,
1970-10,0.044,
1971-01,0.046,
1971-04,0.047,
1971-07,0.052,
1971-10,0.053,
1972-01,0.062,
1972-04,0.064,
1972-07,0.068,
1972-10,0.071,
1973-01,0.073,
1973-04,0.075,
1973-07,0.080,
1973-10,0.082,
1974-01,0.084,
1974-04,0.084,
1974-07,0.087,
1974-10,0.086,
1975-01,0.089,
1975-04,0.091,
1975-07,0.098,
1975-10,0.105,
1976-01,0.113,
1976-04,0.125,
1976-07,0.129,
1976-10,0.137,
1977-01,0.146,
1977-04,0.159,
1977-07,0.166,
1977-10,0.173,
1978-01,0.176,
1978-04,0.190,
1978-07,0.203,
1978-10,0.227,
1979-01,0.233,
1979-04,0.232,
1979-07,0.238,
1979-10,0.226,
1980-01,0.229,
1980-04,0.228,
1980-07,0.230,
1980-10,0.231,
1981-01,0.260,
1981-04,0.260,
1981-07,0.257,
1981-10,0.274,
1982-01,0.272,
1982-04,0.270,
1982-07,0.260,
1982-10,0.267,
1983-01,0.269,
1983-04,0.264,
1983-07,0.265,
1983-10,0.264,
1984-01,0.257,
1984-04,0.250,
1984-07,0.258,
1984-10,0.257,
1985-01,0.254,
1985-04,0.257,
1985-07,0.247,
1985-10,0.449,
1986-01,0.450,
1986-04,0.459,
1986-07,0.461,
1986-10,0.460,
1987-01,0.437,
1987-04,0.434,
1987-07,0.445,
1987-10,0.444,
1988-01,0.424,
1988-04,0.432,
1988-07,0.474,
1988-10,0.482,
1989-01,0.462,
1989-04,0.459,
1989-07,0.459,
1989-10,0.473,
1990-01,0.465,
1990-04,0.449,
1990-07,0.450,
1990-10,0.434,
1991-01,0.441,
1991-04,0.494,
1991-07,0.515,
1991-10,0.545,
1992-01,0.556,
1992-04,0.552,
1992-07,0.566,
1992-10,0.570,
1993-01,0.767,
1993-04,0.712,
1993-07,0.776,
1993-10,0.417,
1994-01,0.411,
1994-04,0.427,
1994-07,0.431,
1994-10,0.430,
1995-01,0.413,
1995-04,0.433,
1995-07,0.414,
1995-10,0.438,
1996-01,0.476,
1996-04,0.488,
1996-07,0.473,
1996-10,0.482,
1997-01,0.487,
1997-04,0.565,
1997-07,0.606,
1997-10,0.620,
1998-01,0.627,
1998-04,0.653,
1998-07,0.720,
1998-10,0.740,
1999-01,0.715,
1999-04,0.975,
1999-07,1.014,
1999-10,0.982,
2000-01,0.987,
2000-04,0.981,
2000-07,0.956,
2000-10,1.041,
2001-01,1.056,
2001-04,1.035,
2001-07,0.978,
2001-10,0.962,
2002-01,0.964,
2002-04,0.912,
2002-07,0.844,
2002-10,0.830,
2003-01,0.720,
2003-04,0.696,
2003-07,0.678,
2003-10,0.616,
2004-01,0.571,
2004-04,0.570,
2004-07,0.530,
2004-10,0.488,
2005-01,0.470,
2005-04,0.443,
2005-07,0.421,
2005-10,0.372,
2006-01,0.380,
2006-04,0.372,
2006-07,0.363,
2006-10,0.348,
2007-01,0.328,
2007-04,0.324,
2007-07,0.310,
2007-10,0.302,
2008-01,0.290,
2008-04,0.291,
2008-07,0.270,
2008-10,0.260,
2009-01,0.252,
2009-04,0.249,
2009-07,0.241,
2009-10,0.239,
2010-01,0.238,
2010-04,0.246,
2010-07,0.252,
2010-10,0.284,
2011-01,0.288,
2011-04,0.290,
2011-07,0.313,
2011-10,0.324,
2012-01,0.337,
2012-04,0.351,
2012-07,0.330,
2012-10,0.337,
2013-01,0.337,
2013-04,0.338,
2013-07,0.328,
2013-10,0.320,
2014-01,0.314,
2014-04,0.322,
2014-07,0.312,
2014-10,0.323,
