"",BBFI1.Q.N.DE.W1.S12T.S1.K7B.L.FA.P.F52._Z._T.M.N,BBFI1.Q.N.DE.W1.S12T.S1.K7B.L.FA.P.F52._Z._T.M.N_FLAGS
"",IIP - Portfolio investment - Investment fund shares/units - Liabilities - Revaluations due to price changes other than exchange rate changes - resident issuer: Monetary financial institutions other than central bank - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:05:20,
2013-01,-,Nothing exists
2013-04,-,Nothing exists
2013-07,-,Nothing exists
2013-10,-,Nothing exists
2014-01,-,Nothing exists
2014-04,-,Nothing exists
2014-07,-,Nothing exists
