"",BBK01.TUB638,BBK01.TUB638_FLAGS
"",Other liabilities / Deutsche Bundesbank,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-02 10:43:15,
2002-01,30612,
2002-02,32558,
2002-03,30916,
2002-04,9075,
2002-05,12666,
2002-06,20937,
2002-07,8923,
2002-08,9237,
2002-09,10217,
2002-10,10586,
2002-11,10500,
2002-12,11142,
2003-01,17614,
2003-02,19121,
2003-03,11701,
2003-04,11572,
2003-05,34528,
2003-06,31257,
2003-07,14932,
2003-08,12368,
2003-09,16188,
2003-10,12891,
2003-11,12896,
2003-12,10450,
2004-01,11430,
2004-02,12688,
2004-03,10846,
2004-04,10932,
2004-05,11465,
2004-06,32245,
2004-07,30343,
2004-08,15152,
2004-09,11957,
2004-10,24084,
2004-11,13926,
2004-12,9743,
2005-01,9475,
2005-02,20983,
2005-03,9355,
2005-04,9454,
2005-05,9644,
2005-06,13048,
2005-07,10803,
2005-08,10461,
2005-09,11025,
2005-10,11010,
2005-11,11234,
2005-12,11329,
2006-01,11462,
2006-02,11950,
2006-03,9407,
2006-04,12725,
2006-05,9791,
2006-06,22342,
2006-07,11590,
2006-08,11116,
2006-09,11815,
2006-10,11880,
2006-11,12440,
2006-12,12965,
2007-01,12920,
2007-02,13468,
2007-03,10057,
2007-04,10023,
2007-05,10752,
2007-06,12368,
2007-07,11647,
2007-08,12563,
2007-09,13627,
2007-10,13026,
2007-11,14127,
2007-12,13146,
2008-01,13309,
2008-02,14084,
2008-03,10716,
2008-04,10165,
2008-05,11262,
2008-06,12545,
2008-07,12176,
2008-08,13080,
2008-09,15108,
2008-10,14835,
2008-11,15930,
2008-12,16916,
2009-01,16987,
2009-02,17689,
2009-03,11610,
2009-04,12090,
2009-05,12581,
2009-06,12364,
2009-07,12155,
2009-08,12359,
2009-09,13229,
2009-10,12918,
2009-11,13219,
2009-12,13521,
2010-01,13241,
2010-02,13402,
2010-03,10266,
2010-04,10188,
2010-05,10415,
2010-06,11269,
2010-07,12463,
2010-08,12772,
2010-09,12353,
2010-10,12340,
2010-11,12754,
2010-12,13057,
2011-01,13124,
2011-02,13524,
2011-03,11666,
2011-04,11668,
2011-05,12088,
2011-06,12746,
2011-07,12679,
2011-08,13187,
2011-09,14267,
2011-10,14430,
2011-11,14925,
2011-12,16234,
2012-01,16532,
2012-02,16743,
2012-03,16911,
2012-04,17497,
2012-05,18180,
2012-06,19453,
2012-07,19861,
2012-08,20610,
2012-09,21583,
2012-10,22291,
2012-11,22800,
2012-12,23551,
2013-01,23479,
2013-02,24469,
2013-03,24037,
2013-04,24448,
2013-05,25045,
2013-06,25340,
2013-07,25516,
2013-08,26004,
2013-09,26631,
2013-10,27006,
2013-11,27357,
2013-12,26799,
2014-01,27198,
2014-02,27780,
2014-03,23575,
2014-04,23778,
2014-05,23996,
2014-06,24404,
2014-07,24501,
2014-08,24611,
2014-09,24963,
2014-10,25188,
2014-11,25238,
2014-12,25548,
