"",BBK01.PQ3203,BBK01.PQ3203_FLAGS
"",Housing loans to domestic employees and other individuals / Medium-term / All categories of banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:26:13,
1968-10,.,No value available
1969-01,.,No value available
1969-04,.,No value available
1969-07,.,No value available
1969-10,.,No value available
1970-01,.,No value available
1970-04,.,No value available
1970-07,.,No value available
1970-10,.,No value available
1971-01,.,No value available
1971-04,.,No value available
1971-07,.,No value available
1971-10,.,No value available
1972-01,.,No value available
1972-04,.,No value available
1972-07,.,No value available
1972-10,.,No value available
1973-01,.,No value available
1973-04,.,No value available
1973-07,.,No value available
1973-10,.,No value available
1974-01,.,No value available
1974-04,.,No value available
1974-07,.,No value available
1974-10,.,No value available
1975-01,.,No value available
1975-04,.,No value available
1975-07,.,No value available
1975-10,.,No value available
1976-01,.,No value available
1976-04,.,No value available
1976-07,.,No value available
1976-10,.,No value available
1977-01,.,No value available
1977-04,.,No value available
1977-07,.,No value available
1977-10,.,No value available
1978-01,.,No value available
1978-04,.,No value available
1978-07,.,No value available
1978-10,.,No value available
1979-01,.,No value available
1979-04,.,No value available
1979-07,.,No value available
1979-10,.,No value available
1980-01,.,No value available
1980-04,.,No value available
1980-07,.,No value available
1980-10,10.485,
1981-01,11.100,
1981-04,11.651,
1981-07,12.062,
1981-10,12.572,
1982-01,13.091,
1982-04,13.571,
1982-07,14.159,
1982-10,14.703,
1983-01,14.547,
1983-04,14.586,
1983-07,15.383,
1983-10,16.238,
1984-01,15.878,
1984-04,16.037,
1984-07,15.901,
1984-10,15.494,
1985-01,14.841,
1985-04,14.469,
1985-07,13.870,
1985-10,14.224,
1986-01,13.767,
1986-04,13.329,
1986-07,12.898,
1986-10,12.588,
1987-01,11.889,
1987-04,11.397,
1987-07,10.971,
1987-10,10.448,
1988-01,9.810,
1988-04,9.512,
1988-07,9.138,
1988-10,8.896,
1989-01,8.409,
1989-04,8.148,
1989-07,7.979,
1989-10,8.161,
1990-01,7.851,
1990-04,7.874,
1990-07,8.113,
1990-10,8.724,
1991-01,8.711,
1991-04,9.012,
1991-07,9.490,
1991-10,10.059,
1992-01,10.059,
1992-04,10.277,
1992-07,10.579,
1992-10,10.976,
1993-01,10.800,
1993-04,10.497,
1993-07,10.426,
1993-10,10.416,
1994-01,9.977,
1994-04,9.962,
1994-07,10.181,
1994-10,10.704,
1995-01,10.739,
1995-04,10.987,
1995-07,11.412,
1995-10,11.777,
1996-01,11.617,
1996-04,11.745,
1996-07,11.996,
1996-10,12.313,
1997-01,12.143,
1997-04,12.260,
1997-07,12.372,
1997-10,12.445,
1998-01,12.232,
1998-04,12.167,
1998-07,11.977,
1998-10,11.167,
1999-01,34.205,
1999-04,32.900,
1999-07,31.383,
1999-10,29.201,
2000-01,27.788,
2000-04,27.626,
2000-07,27.357,
2000-10,26.384,
2001-01,25.812,
2001-04,25.560,
2001-07,25.401,
2001-10,25.030,
2002-01,24.496,
2002-04,24.165,
2002-07,24.052,
2002-10,24.702,
2003-01,24.466,
2003-04,25.433,
2003-07,25.950,
2003-10,26.207,
2004-01,25.638,
2004-04,26.488,
2004-07,26.947,
2004-10,26.880,
2005-01,26.570,
2005-04,25.030,
2005-07,25.026,
2005-10,25.012,
2006-01,24.185,
2006-04,24.112,
2006-07,23.942,
2006-10,23.921,
2007-01,23.012,
2007-04,22.460,
2007-07,22.207,
2007-10,21.720,
2008-01,21.032,
2008-04,20.605,
2008-07,20.103,
2008-10,19.455,
2009-01,20.091,
2009-04,20.120,
2009-07,20.413,
2009-10,20.528,
2010-01,20.502,
2010-04,20.601,
2010-07,21.021,
2010-10,21.330,
2011-01,21.398,
2011-04,21.827,
2011-07,22.383,
2011-10,22.674,
2012-01,22.915,
2012-04,23.143,
2012-07,23.390,
2012-10,23.513,
2013-01,23.332,
2013-04,23.342,
2013-07,23.357,
2013-10,23.065,
2014-01,22.627,
2014-04,22.479,
2014-07,22.521,
2014-10,22.392,
