"",BBK01.OECB07O,BBK01.OECB07O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:00,
2002-01,0.431,
2002-04,0.331,
2002-07,0.319,
2002-10,0.303,
2003-01,0.284,
2003-04,0.296,
2003-07,0.314,
2003-10,0.313,
2004-01,0.309,
2004-04,0.302,
2004-07,0.324,
2004-10,0.306,
2005-01,0.328,
2005-04,0.326,
2005-07,0.330,
2005-10,0.325,
2006-01,0.315,
2006-04,0.314,
2006-07,0.337,
2006-10,0.289,
2007-01,0.294,
2007-04,0.303,
2007-07,0.296,
2007-10,0.283,
2008-01,0.326,
2008-04,0.358,
2008-07,0.352,
2008-10,0.348,
2009-01,0.436,
2009-04,0.488,
2009-07,0.504,
2009-10,0.489,
2010-01,0.491,
2010-04,0.540,
2010-07,0.583,
2010-10,0.603,
2011-01,0.532,
2011-04,0.498,
2011-07,0.499,
2011-10,0.461,
2012-01,0.445,
2012-04,0.410,
2012-07,0.402,
2012-10,0.414,
2013-01,0.404,
2013-04,0.410,
2013-07,0.416,
2013-10,0.457,
2014-01,0.453,
2014-04,0.475,
2014-07,0.459,
