"",BBFN1.M.DE.N.1.L.BE.S1P.F0.S.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.BE.S1P.F0.S.B000.Z01.BGA.X001.D_FLAGS
"",Short-term liabilities of enterprises vis-à-vis foreign banks arising from financial operations / Total / Belgium,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:09:26,
1979-01,0.547,
1979-02,0.457,
1979-03,0.345,
1979-04,0.405,
1979-05,0.354,
1979-06,0.392,
1979-07,0.415,
1979-08,0.391,
1979-09,0.497,
1979-10,0.533,
1979-11,0.519,
1979-12,0.397,
1980-01,0.558,
1980-02,0.832,
1980-03,0.814,
1980-04,0.839,
1980-05,1.038,
1980-06,1.094,
1980-07,1.054,
1980-08,1.267,
1980-09,1.263,
1980-10,1.253,
1980-11,1.322,
1980-12,1.072,
1981-01,1.249,
1981-02,1.298,
1981-03,1.536,
1981-04,1.601,
1981-05,1.807,
1981-06,1.918,
1981-07,2.200,
1981-08,2.252,
1981-09,2.223,
1981-10,2.046,
1981-11,2.439,
1981-12,1.841,
1982-01,2.325,
1982-02,2.354,
1982-03,2.515,
1982-04,1.985,
1982-05,2.128,
1982-06,2.146,
1982-07,2.052,
1982-08,1.913,
1982-09,1.755,
1982-10,1.952,
1982-11,1.746,
1982-12,1.376,
1983-01,1.595,
1983-02,1.602,
1983-03,1.667,
1983-04,1.539,
1983-05,1.428,
1983-06,1.323,
1983-07,1.244,
1983-08,1.504,
1983-09,1.239,
1983-10,1.384,
1983-11,1.201,
1983-12,1.003,
1984-01,1.131,
1984-02,1.275,
1984-03,1.153,
1984-04,1.258,
1984-05,1.229,
1984-06,1.108,
1984-07,1.071,
1984-08,1.110,
1984-09,1.178,
1984-10,0.923,
1984-11,0.986,
1984-12,0.728,
1985-01,0.861,
1985-02,0.854,
1985-03,0.927,
1985-04,0.972,
1985-05,0.874,
1985-06,0.841,
1985-07,0.921,
1985-08,1.125,
1985-09,0.985,
1985-10,0.882,
1985-11,0.842,
1985-12,0.626,
1986-01,0.850,
1986-02,0.821,
1986-03,0.695,
1986-04,0.694,
1986-05,0.739,
1986-06,0.610,
1986-07,0.591,
1986-08,0.658,
1986-09,0.793,
1986-10,0.750,
1986-11,0.728,
1986-12,0.493,
1987-01,0.551,
1987-02,0.668,
1987-03,0.559,
1987-04,0.502,
1987-05,0.459,
1987-06,0.449,
1987-07,0.414,
1987-08,0.396,
1987-09,0.390,
1987-10,0.490,
1987-11,0.452,
1987-12,0.358,
1988-01,0.417,
1988-02,0.414,
1988-03,0.389,
1988-04,0.434,
1988-05,0.377,
1988-06,0.342,
1988-07,0.349,
1988-08,0.342,
1988-09,0.425,
1988-10,0.388,
1988-11,0.353,
1988-12,0.320,
1989-01,0.356,
1989-02,0.321,
1989-03,0.395,
1989-04,0.389,
1989-05,0.353,
1989-06,0.410,
1989-07,0.484,
1989-08,0.398,
1989-09,0.404,
1989-10,0.442,
1989-11,0.481,
1989-12,0.352,
1990-01,0.773,
1990-02,0.716,
1990-03,0.745,
1990-04,0.892,
1990-05,0.552,
1990-06,0.817,
1990-07,0.545,
1990-08,0.569,
1990-09,0.616,
1990-10,0.396,
1990-11,0.498,
1990-12,0.392,
1991-01,0.472,
1991-02,0.505,
1991-03,0.707,
1991-04,0.899,
1991-05,0.848,
1991-06,0.968,
1991-07,0.912,
1991-08,0.905,
1991-09,0.924,
1991-10,0.939,
1991-11,0.934,
1991-12,1.055,
1992-01,0.839,
1992-02,0.703,
1992-03,0.656,
1992-04,0.699,
1992-05,0.699,
1992-06,0.415,
1992-07,0.496,
1992-08,0.436,
1992-09,0.387,
1992-10,0.507,
1992-11,0.572,
1992-12,0.377,
1993-01,0.437,
1993-02,0.395,
1993-03,0.447,
1993-04,0.230,
1993-05,0.458,
1993-06,0.292,
1993-07,0.449,
1993-08,0.380,
1993-09,0.245,
1993-10,0.250,
1993-11,0.363,
1993-12,0.317,
1994-01,0.264,
1994-02,0.180,
1994-03,0.263,
1994-04,0.237,
1994-05,0.231,
1994-06,0.169,
1994-07,0.302,
1994-08,0.150,
1994-09,0.186,
1994-10,0.148,
1994-11,0.143,
1994-12,0.402,
1995-01,0.206,
1995-02,0.167,
1995-03,0.145,
1995-04,0.141,
1995-05,0.359,
1995-06,0.185,
1995-07,0.173,
1995-08,0.164,
1995-09,0.163,
1995-10,0.159,
1995-11,0.152,
1995-12,0.212,
1996-01,0.149,
1996-02,0.166,
1996-03,0.146,
1996-04,0.122,
1996-05,0.288,
1996-06,0.107,
1996-07,0.276,
1996-08,0.214,
1996-09,0.343,
1996-10,0.213,
1996-11,0.350,
1996-12,0.214,
1997-01,0.432,
1997-02,0.487,
1997-03,0.184,
1997-04,0.481,
1997-05,0.653,
1997-06,0.515,
1997-07,0.476,
1997-08,0.175,
1997-09,0.297,
1997-10,0.352,
1997-11,0.506,
1997-12,0.214,
1998-01,0.159,
1998-02,0.342,
1998-03,0.717,
1998-04,0.570,
1998-05,0.456,
1998-06,0.186,
1998-07,0.180,
1998-08,0.139,
1998-09,0.180,
1998-10,0.162,
1998-11,0.329,
1998-12,0.121,
1999-01,1.135,
1999-02,0.411,
1999-03,0.680,
1999-04,0.877,
1999-05,0.771,
1999-06,0.556,
1999-07,1.400,
1999-08,1.025,
1999-09,0.752,
1999-10,0.688,
1999-11,0.366,
1999-12,0.401,
2000-01,0.458,
2000-02,0.286,
2000-03,0.232,
2000-04,0.499,
2000-05,0.256,
2000-06,0.160,
2000-07,0.316,
2000-08,0.251,
2000-09,0.269,
2000-10,0.290,
2000-11,0.268,
2000-12,0.165,
2001-01,0.335,
2001-02,0.255,
2001-03,0.145,
2001-04,0.187,
2001-05,0.166,
2001-06,0.170,
2001-07,0.195,
2001-08,0.176,
2001-09,0.175,
2001-10,0.301,
2001-11,0.274,
2001-12,0.085,
2002-01,0.419,
2002-02,0.432,
2002-03,0.129,
2002-04,0.253,
2002-05,0.265,
2002-06,0.157,
2002-07,0.237,
2002-08,0.184,
2002-09,0.172,
2002-10,0.176,
2002-11,0.177,
2002-12,0.163,
2003-01,0.188,
2003-02,0.236,
2003-03,0.163,
2003-04,0.192,
2003-05,0.288,
2003-06,0.211,
2003-07,0.132,
