"",BBSF2.M.1.T.00000.HED01.I.F.AKT.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.HED01.I.F.AKT.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Hedgefunds / Shares / World not allocated (geographically) / All issuer sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:12,
2009-09,285,
2009-10,277,
2009-11,288,
2009-12,294,
2010-01,319,
2010-02,330,
2010-03,351,
2010-04,6983,
2010-05,3608,
2010-06,456,
2010-07,384,
2010-08,382,
2010-09,389,
2010-10,405,
2010-11,410,
2010-12,415,
2011-01,425,
2011-02,439,
2011-03,442,
2011-04,452,
2011-05,458,
2011-06,454,
2011-07,442,
2011-08,421,
2011-09,414,
2011-10,443,
2011-11,427,
2011-12,426,
2012-01,447,
2012-02,474,
2012-03,730,
2012-04,2222,
2012-05,1264,
2012-06,965,
2012-07,503,
2012-08,510,
2012-09,524,
2012-10,527,
2012-11,530,
2012-12,549,
2013-01,569,
2013-02,587,
2013-03,611,
2013-04,873,
2013-05,640,
2013-06,637,
2013-07,654,
2013-08,653,
2013-09,676,
2013-10,716,
2013-11,730,
2013-12,728,
2014-01,739,
2014-02,763,
2014-03,787,
2014-04,2952,
2014-05,808,
2014-06,785,
2014-07,780,
2014-08,808,
2014-09,832,
2014-10,852,
2014-11,880,
