"",BBFN1.M.DE.N.1.A.JP.S1P.F0.S.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.JP.S1P.F0.S.B000.Z01.BGA.X001.D_FLAGS
"",Short-term claims of enterprises on foreign banks arising from financial operations / Total / Japan,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:26:41,
1972-12,0.004,
1973-01,.,No value available
1973-02,.,No value available
1973-03,.,No value available
1973-04,.,No value available
1973-05,.,No value available
1973-06,.,No value available
1973-07,.,No value available
1973-08,.,No value available
1973-09,.,No value available
1973-10,.,No value available
1973-11,.,No value available
1973-12,0.002,
1974-01,.,No value available
1974-02,.,No value available
1974-03,.,No value available
1974-04,.,No value available
1974-05,.,No value available
1974-06,.,No value available
1974-07,.,No value available
1974-08,.,No value available
1974-09,.,No value available
1974-10,.,No value available
1974-11,.,No value available
1974-12,0.006,
1975-01,.,No value available
1975-02,.,No value available
1975-03,.,No value available
1975-04,.,No value available
1975-05,.,No value available
1975-06,.,No value available
1975-07,.,No value available
1975-08,.,No value available
1975-09,.,No value available
1975-10,.,No value available
1975-11,.,No value available
1975-12,0.003,
1976-01,0.003,
1976-02,0.002,
1976-03,0.001,
1976-04,0.008,
1976-05,0.013,
1976-06,0.025,
1976-07,0.025,
1976-08,0.030,
1976-09,0.029,
1976-10,0.022,
1976-11,0.019,
1976-12,0.035,
1977-01,0.036,
1977-02,0.036,
1977-03,0.008,
1977-04,0.008,
1977-05,0.008,
1977-06,0.005,
1977-07,0.007,
1977-08,0.006,
1977-09,0.021,
1977-10,0.019,
1977-11,0.019,
1977-12,0.020,
1978-01,0.020,
1978-02,0.019,
1978-03,0.020,
1978-04,0.021,
1978-05,0.005,
1978-06,0.005,
1978-07,0.005,
1978-08,0.011,
1978-09,0.012,
1978-10,0.014,
1978-11,0.014,
1978-12,0.014,
1979-01,0.015,
1979-02,0.012,
1979-03,0.011,
1979-04,0.015,
1979-05,0.015,
1979-06,0.014,
1979-07,0.021,
1979-08,0.007,
1979-09,0.007,
1979-10,0.007,
1979-11,0.006,
1979-12,0.007,
1980-01,0.006,
1980-02,0.007,
1980-03,0.007,
1980-04,0.006,
1980-05,0.007,
1980-06,0.007,
1980-07,0.009,
1980-08,0.006,
1980-09,0.015,
1980-10,0.012,
1980-11,0.008,
1980-12,0.007,
1981-01,0.008,
1981-02,0.007,
1981-03,0.007,
1981-04,0.009,
1981-05,0.008,
1981-06,0.009,
1981-07,0.006,
1981-08,0.016,
1981-09,0.013,
1981-10,0.014,
1981-11,0.006,
1981-12,0.005,
1982-01,0.011,
1982-02,0.011,
1982-03,0.006,
1982-04,0.014,
1982-05,0.007,
1982-06,0.007,
1982-07,0.006,
1982-08,0.008,
1982-09,0.005,
1982-10,0.005,
1982-11,0.006,
1982-12,0.008,
1983-01,0.005,
1983-02,0.007,
1983-03,0.006,
1983-04,0.005,
1983-05,0.006,
1983-06,0.018,
1983-07,0.004,
1983-08,0.004,
1983-09,0.004,
1983-10,0.007,
1983-11,0.005,
1983-12,0.009,
1984-01,0.009,
1984-02,0.005,
1984-03,0.006,
1984-04,0.005,
1984-05,0.006,
1984-06,0.007,
1984-07,0.006,
1984-08,0.010,
1984-09,0.003,
1984-10,0.006,
1984-11,0.014,
1984-12,0.016,
1985-01,0.008,
1985-02,0.007,
1985-03,0.010,
1985-04,0.010,
1985-05,0.006,
1985-06,0.005,
1985-07,0.008,
1985-08,0.004,
1985-09,0.005,
1985-10,0.005,
1985-11,0.008,
1985-12,0.005,
1986-01,0.012,
1986-02,0.016,
1986-03,0.013,
1986-04,0.008,
1986-05,0.010,
1986-06,0.005,
1986-07,0.017,
1986-08,0.006,
1986-09,0.005,
1986-10,0.006,
1986-11,0.010,
1986-12,0.009,
1987-01,0.006,
1987-02,0.007,
1987-03,0.008,
1987-04,0.009,
1987-05,0.007,
1987-06,0.009,
1987-07,0.010,
1987-08,0.020,
1987-09,0.037,
1987-10,0.087,
1987-11,0.110,
1987-12,0.054,
1988-01,0.082,
1988-02,0.086,
1988-03,0.175,
1988-04,0.246,
1988-05,0.261,
1988-06,0.316,
1988-07,0.449,
1988-08,0.401,
1988-09,0.514,
1988-10,0.615,
1988-11,0.482,
1988-12,0.292,
1989-01,0.424,
1989-02,0.380,
1989-03,0.694,
1989-04,0.639,
1989-05,0.670,
1989-06,0.860,
1989-07,0.849,
1989-08,0.885,
1989-09,0.797,
1989-10,1.106,
1989-11,0.941,
1989-12,0.765,
1990-01,0.605,
1990-02,0.613,
1990-03,0.652,
1990-04,0.500,
1990-05,0.539,
1990-06,0.540,
1990-07,0.642,
1990-08,0.624,
1990-09,0.358,
1990-10,0.244,
1990-11,0.117,
1990-12,0.267,
1991-01,0.268,
1991-02,0.343,
1991-03,0.305,
1991-04,0.323,
1991-05,0.347,
1991-06,0.218,
1991-07,0.378,
1991-08,0.476,
1991-09,0.355,
1991-10,0.387,
1991-11,0.355,
1991-12,0.348,
1992-01,0.401,
1992-02,0.411,
1992-03,0.869,
1992-04,1.129,
1992-05,1.225,
1992-06,1.299,
1992-07,1.240,
1992-08,0.977,
1992-09,0.657,
1992-10,0.764,
1992-11,0.748,
1992-12,0.749,
1993-01,1.725,
1993-02,1.495,
1993-03,1.767,
1993-04,1.847,
1993-05,1.484,
1993-06,1.101,
1993-07,1.264,
1993-08,1.260,
1993-09,0.944,
1993-10,0.917,
1993-11,1.074,
1993-12,0.634,
1994-01,1.171,
1994-02,0.834,
1994-03,0.906,
1994-04,1.018,
1994-05,1.001,
1994-06,0.865,
1994-07,1.204,
1994-08,1.137,
1994-09,0.733,
1994-10,1.148,
1994-11,0.666,
1994-12,0.470,
1995-01,0.487,
1995-02,0.597,
1995-03,0.485,
1995-04,0.578,
1995-05,0.428,
1995-06,0.689,
1995-07,1.062,
1995-08,0.859,
1995-09,0.698,
1995-10,0.945,
1995-11,0.707,
1995-12,0.504,
1996-01,1.144,
1996-02,1.095,
1996-03,1.095,
1996-04,1.336,
1996-05,1.411,
1996-06,1.251,
1996-07,1.625,
1996-08,1.793,
1996-09,1.846,
1996-10,1.982,
1996-11,1.659,
1996-12,1.164,
1997-01,1.632,
1997-02,1.796,
1997-03,1.643,
1997-04,1.353,
1997-05,1.378,
1997-06,1.141,
1997-07,1.177,
1997-08,1.141,
1997-09,0.848,
1997-10,1.027,
1997-11,0.899,
1997-12,0.849,
1998-01,0.823,
1998-02,0.761,
1998-03,0.769,
1998-04,0.643,
1998-05,0.558,
1998-06,0.504,
1998-07,0.499,
1998-08,0.496,
1998-09,0.562,
1998-10,0.750,
1998-11,0.802,
1998-12,0.708,
1999-01,0.827,
1999-02,0.704,
1999-03,0.875,
1999-04,0.644,
1999-05,0.450,
1999-06,0.581,
1999-07,0.560,
1999-08,0.531,
1999-09,0.360,
1999-10,0.548,
1999-11,0.576,
1999-12,0.431,
2000-01,0.518,
2000-02,0.553,
2000-03,0.533,
2000-04,0.774,
2000-05,0.459,
2000-06,0.395,
2000-07,0.277,
2000-08,0.256,
2000-09,0.213,
2000-10,0.215,
2000-11,0.161,
2000-12,0.138,
2001-01,0.274,
2001-02,0.239,
2001-03,0.269,
2001-04,0.248,
2001-05,0.174,
2001-06,0.173,
2001-07,0.107,
2001-08,0.101,
2001-09,0.079,
2001-10,0.099,
2001-11,0.091,
2001-12,0.067,
2002-01,0.125,
2002-02,0.123,
2002-03,0.124,
2002-04,0.156,
2002-05,0.123,
2002-06,0.123,
2002-07,0.133,
2002-08,0.096,
2002-09,0.119,
2002-10,0.120,
2002-11,0.064,
2002-12,0.112,
2003-01,0.119,
2003-02,0.131,
2003-03,0.153,
2003-04,0.153,
2003-05,0.134,
2003-06,0.085,
2003-07,0.075,
2003-08,0.075,
2003-09,0.130,
2003-10,0.100,
2003-11,0.063,
2003-12,0.035,
2004-01,0.086,
2004-02,0.133,
2004-03,0.147,
2004-04,0.117,
2004-05,0.164,
2004-06,0.156,
2004-07,0.158,
2004-08,0.210,
2004-09,0.086,
2004-10,0.221,
2004-11,0.149,
2004-12,0.073,
2005-01,0.092,
2005-02,0.067,
2005-03,0.117,
2005-04,0.142,
2005-05,0.149,
2005-06,0.166,
2005-07,0.108,
2005-08,0.120,
2005-09,0.136,
2005-10,0.140,
2005-11,0.093,
2005-12,0.112,
2006-01,0.154,
2006-02,0.164,
2006-03,0.204,
2006-04,0.169,
2006-05,0.161,
2006-06,0.129,
2006-07,0.100,
2006-08,0.089,
2006-09,0.126,
2006-10,0.164,
2006-11,0.160,
2006-12,0.080,
2007-01,0.540,
2007-02,0.144,
2007-03,0.067,
2007-04,0.075,
2007-05,0.090,
2007-06,0.073,
2007-07,0.135,
2007-08,0.200,
2007-09,0.083,
2007-10,0.089,
2007-11,0.077,
2007-12,0.056,
2008-01,0.173,
2008-02,0.068,
2008-03,0.104,
2008-04,0.192,
2008-05,0.094,
2008-06,0.108,
2008-07,0.095,
2008-08,0.070,
2008-09,0.110,
2008-10,0.164,
2008-11,0.122,
2008-12,0.063,
2009-01,0.095,
2009-02,0.099,
2009-03,0.194,
2009-04,0.151,
2009-05,0.043,
2009-06,0.112,
2009-07,0.086,
2009-08,0.073,
2009-09,0.156,
2009-10,0.079,
2009-11,0.107,
2009-12,0.050,
2010-01,0.115,
2010-02,0.054,
2010-03,0.185,
2010-04,0.156,
2010-05,0.259,
2010-06,0.139,
2010-07,0.090,
2010-08,0.081,
2010-09,0.145,
2010-10,0.141,
2010-11,0.198,
2010-12,0.175,
2011-01,0.184,
2011-02,0.101,
2011-03,0.197,
2011-04,0.152,
2011-05,0.136,
2011-06,0.148,
2011-07,0.096,
2011-08,0.122,
2011-09,0.146,
2011-10,0.239,
2011-11,0.289,
2011-12,0.228,
2012-01,0.233,
2012-02,0.205,
2012-03,0.143,
2012-04,0.395,
2012-05,0.215,
2012-06,0.147,
2012-07,0.236,
2012-08,0.209,
2012-09,0.158,
2012-10,0.231,
2012-11,0.161,
2012-12,0.149,
2013-01,0.201,
2013-02,0.194,
2013-03,0.220,
2013-04,0.313,
2013-05,0.140,
2013-06,0.153,
2013-07,0.209,
2013-08,0.113,
2013-09,0.205,
2013-10,0.196,
2013-11,0.116,
2013-12,0.158,
2014-01,0.162,
2014-02,0.111,
2014-03,0.217,
2014-04,0.226,
2014-05,0.118,
2014-06,0.211,
2014-07,0.253,
2014-08,0.122,
2014-09,0.182,
2014-10,0.213,
2014-11,0.191,
2014-12,0.217,
