"",BBK01.OEAA49T,BBK01.OEAA49T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:20:36,
2002-01,0.042,
2002-04,0.038,
2002-07,0.038,
2002-10,0.111,
2003-01,0.414,
2003-04,0.392,
2003-07,0.386,
2003-10,0.363,
2004-01,0.374,
2004-04,0.374,
2004-07,0.030,
2004-10,0.029,
2005-01,0.033,
2005-04,0.033,
2005-07,0.033,
2005-10,0.030,
2006-01,0.030,
2006-04,0.032,
2006-07,0.034,
2006-10,0.029,
2007-01,0.027,
2007-04,0.070,
2007-07,0.076,
2007-10,0.036,
2008-01,0.042,
2008-04,0.039,
2008-07,0.050,
2008-10,0.056,
2009-01,0.060,
2009-04,0.078,
2009-07,0.077,
2009-10,0.082,
2010-01,0.073,
2010-04,0.072,
2010-07,0.063,
2010-10,0.097,
2011-01,0.092,
2011-04,0.092,
2011-07,0.095,
2011-10,0.106,
2012-01,0.128,
2012-04,0.129,
2012-07,0.132,
2012-10,0.137,
2013-01,0.121,
2013-04,0.124,
2013-07,0.119,
2013-10,0.126,
2014-01,0.136,
2014-04,0.146,
2014-07,0.164,
