"",BBK01.OEAE24P,BBK01.OEAE24P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:12,
2002-01,0.072,
2002-04,0.073,
2002-07,0.076,
2002-10,0.082,
2003-01,0.066,
2003-04,0.069,
2003-07,0.068,
2003-10,0.064,
2004-01,0.063,
2004-04,0.067,
2004-07,0.063,
2004-10,0.063,
2005-01,0.058,
2005-04,0.056,
2005-07,0.059,
2005-10,0.056,
2006-01,0.053,
2006-04,0.051,
2006-07,0.043,
2006-10,0.043,
2007-01,0.041,
2007-04,0.045,
2007-07,0.044,
2007-10,0.047,
2008-01,0.046,
2008-04,0.045,
2008-07,0.043,
2008-10,0.042,
2009-01,0.055,
2009-04,0.068,
2009-07,0.070,
2009-10,0.067,
2010-01,0.065,
2010-04,0.085,
2010-07,0.088,
2010-10,0.089,
2011-01,0.087,
2011-04,0.103,
2011-07,0.105,
2011-10,0.110,
2012-01,0.096,
2012-04,0.128,
2012-07,0.123,
2012-10,0.126,
2013-01,0.125,
2013-04,0.126,
2013-07,0.132,
2013-10,0.144,
2014-01,0.134,
2014-04,0.120,
2014-07,0.136,
