"",BBK01.OEAC24U,BBK01.OEAC24U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:20,
2002-01,0.565,
2002-04,0.533,
2002-07,0.556,
2002-10,0.572,
2003-01,0.545,
2003-04,0.504,
2003-07,0.483,
2003-10,0.477,
2004-01,0.482,
2004-04,0.457,
2004-07,0.436,
2004-10,0.443,
2005-01,0.442,
2005-04,0.462,
2005-07,0.467,
2005-10,0.455,
2006-01,0.453,
2006-04,0.402,
2006-07,0.411,
2006-10,0.419,
2007-01,0.428,
2007-04,0.552,
2007-07,0.478,
2007-10,0.422,
2008-01,0.481,
2008-04,0.506,
2008-07,0.406,
2008-10,0.424,
2009-01,0.380,
2009-04,0.391,
2009-07,0.360,
2009-10,0.312,
2010-01,0.337,
2010-04,0.341,
2010-07,0.298,
2010-10,0.282,
2011-01,0.277,
2011-04,0.297,
2011-07,0.283,
2011-10,0.282,
2012-01,0.273,
2012-04,0.280,
2012-07,0.287,
2012-10,0.267,
2013-01,0.265,
2013-04,0.268,
2013-07,0.272,
2013-10,0.271,
2014-01,0.286,
2014-04,0.287,
2014-07,0.278,
