"",BBFB1.Q.N.DE.E1.S1.S1.T.L.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.E1.S1.S1.T.L.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Europe,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:40:20,
1991-01,14820.345,
1991-04,-314.043,
1991-07,2139.895,
1991-10,4212.494,
1992-01,3858.925,
1992-04,5124.681,
1992-07,24448.130,
1992-10,138.999,
1993-01,8133.936,
1993-04,5264.789,
1993-07,8671.947,
1993-10,12932.348,
1994-01,8357.627,
1994-04,10253.351,
1994-07,10724.759,
1994-10,18774.452,
1995-01,22654.253,
1995-04,16864.539,
1995-07,8712.543,
1995-10,7971.253,
1996-01,5510.068,
1996-04,5685.733,
1996-07,-7291.991,
1996-10,22655.333,
1997-01,32784.369,
1997-04,26980.358,
1997-07,-1723.787,
1997-10,22735.382,
1998-01,45478.614,
1998-04,31364.702,
1998-07,5638.560,
1998-10,37129.424,
1999-01,52697.254,
1999-04,-3882.910,
1999-07,2959.303,
1999-10,-4764.352,
2000-01,85300.049,
2000-04,-7551.286,
2000-07,1995.812,
2000-10,21498.306,
2001-01,98885.137,
2001-04,-18823.859,
2001-07,-9067.211,
2001-10,-12453.843,
2002-01,-1907.082,
2002-04,4540.625,
2002-07,51761.788,
2002-10,2741.529,
2003-01,43088.734,
2003-04,4797.824,
2003-07,12110.199,
2003-10,-22866.251,
2004-01,57358.769,
2004-04,-43859.101,
2004-07,30993.420,
2004-10,3252.563,
2005-01,75820.344,
2005-04,-15123.912,
2005-07,13933.176,
2005-10,-8108.125,
2006-01,73859.581,
2006-04,9829.269,
2006-07,8131.786,
2006-10,-8169.386,
2007-01,48900.185,
2007-04,31024.339,
2007-07,45135.448,
2007-10,-54326.658,
2008-01,122540.943,
2008-04,-36546.391,
2008-07,40117.426,
2008-10,-112100.400,
2009-01,-68699.990,
2009-04,3864.990,
2009-07,-48233.020,
2009-10,-18082.616,
2010-01,44464.634,
2010-04,59641.890,
2010-07,22782.131,
2010-10,32181.148,
2011-01,-42901.941,
2011-04,-25464.421,
2011-07,118416.263,
2011-10,-69579.175,
2012-01,190840.802,
2012-04,23632.838,
2012-07,-44645.186,
2012-10,-89477.624,
2013-01,-28953.407,
2013-04,2359.939,
2013-07,-64486.506,
2013-10,-96001.264,
2014-01,9841.335,Provisional value
2014-04,15693.494,Provisional value
2014-07,-21844.872,Provisional value
2014-10,-57312.218,Provisional value
