"",BBFB1.Q.N.DE.E1.S1.S1.T.L.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.E1.S1.S1.T.L.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Net / Europe,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:40:19,
1991-01,1461.825,
1991-04,5879.761,
1991-07,11281.491,
1991-10,11503.046,
1992-01,-216.953,
1992-04,2341.336,
1992-07,20622.570,
1992-10,27945.999,
1993-01,34952.364,
1993-04,28523.861,
1993-07,17254.424,
1993-10,22673.458,
1994-01,-7622.474,
1994-04,-7334.014,
1994-07,7195.956,
1994-10,13821.650,
1995-01,2323.815,
1995-04,12976.608,
1995-07,10419.305,
1995-10,5972.778,
1996-01,17240.434,
1996-04,17409.707,
1996-07,14283.110,
1996-10,14222.241,
1997-01,14621.001,
1997-04,11345.393,
1997-07,26667.984,
1997-10,13073.546,
1998-01,18686.994,
1998-04,30173.688,
1998-07,39006.454,
1998-10,4476.755,
1999-01,23481.261,
1999-04,44297.735,
1999-07,43721.979,
1999-10,37762.955,
2000-01,-62047.752,
2000-04,79455.449,
2000-07,23977.945,
2000-10,23411.586,
2001-01,-1828.589,
2001-04,45661.510,
2001-07,37039.590,
2001-10,21592.697,
2002-01,21031.858,
2002-04,55887.161,
2002-07,34204.740,
2002-10,1180.712,
2003-01,33295.594,
2003-04,25935.997,
2003-07,-3269.242,
2003-10,28063.993,
2004-01,55066.104,
2004-04,9363.950,
2004-07,55731.051,
2004-10,13850.255,
2005-01,50017.348,
2005-04,60626.593,
2005-07,34193.587,
2005-10,18653.747,
2006-01,53642.144,
2006-04,4302.921,
2006-07,23663.193,
2006-10,45349.945,
2007-01,66421.555,
2007-04,98241.388,
2007-07,57652.970,
2007-10,84624.004,
2008-01,8444.555,
2008-04,12283.911,
2008-07,17253.772,
2008-10,-55593.717,
2009-01,-24012.782,
2009-04,26779.494,
2009-07,-1225.263,
2009-10,-15055.533,
2010-01,8898.818,
2010-04,8521.120,
2010-07,32027.591,
2010-10,-274.982,
2011-01,32715.101,
2011-04,33827.004,
2011-07,16527.685,
2011-10,-38124.755,
2012-01,256.765,
2012-04,28146.456,
2012-07,-3344.476,
2012-10,7186.670,
2013-01,3963.032,
2013-04,-18687.554,
2013-07,-1809.622,
2013-10,-9889.205,
2014-01,17179.989,Provisional value
2014-04,18432.720,Provisional value
2014-07,2137.892,Provisional value
2014-10,4871.168,Provisional value
