"",BBK01.OEAD24N,BBK01.OEAD24N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:32,
2002-01,0.133,
2002-04,0.115,
2002-07,0.116,
2002-10,0.126,
2003-01,0.115,
2003-04,0.127,
2003-07,0.134,
2003-10,0.127,
2004-01,0.119,
2004-04,0.118,
2004-07,0.083,
2004-10,0.083,
2005-01,0.087,
2005-04,0.101,
2005-07,0.103,
2005-10,0.086,
2006-01,0.098,
2006-04,0.079,
2006-07,0.070,
2006-10,0.068,
2007-01,0.071,
2007-04,0.119,
2007-07,0.536,
2007-10,0.158,
2008-01,0.120,
2008-04,0.090,
2008-07,0.105,
2008-10,0.110,
2009-01,0.111,
2009-04,0.112,
2009-07,0.120,
2009-10,0.117,
2010-01,0.108,
2010-04,0.106,
2010-07,0.110,
2010-10,0.117,
2011-01,0.117,
2011-04,0.127,
2011-07,0.123,
2011-10,0.130,
2012-01,0.137,
2012-04,0.134,
2012-07,0.130,
2012-10,0.122,
2013-01,0.125,
2013-04,0.141,
2013-07,0.150,
2013-10,0.161,
2014-01,0.528,
2014-04,0.527,
2014-07,0.523,
