"",BBSF2.M.1.S.00000.TOT01.I.F.AKT.JP.00000.F05100.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.AKT.JP.00000.F05100.Z01.00_FLAGS
"",Special investors funds / Funds total / Shares / Japan,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:55,
2009-09,2673,
2009-10,2542,
2009-11,2497,
2009-12,2662,
2010-01,2792,
2010-02,2873,
2010-03,2922,
2010-04,2983,
2010-05,2941,
2010-06,2869,
2010-07,2818,
2010-08,2765,
2010-09,2595,
2010-10,2589,
2010-11,2998,
2010-12,3341,
2011-01,3113,
2011-02,3256,
2011-03,2552,
2011-04,2276,
2011-05,2399,
2011-06,2460,
2011-07,2624,
2011-08,2144,
2011-09,2112,
2011-10,2056,
2011-11,2034,
2011-12,2113,
2012-01,2132,
2012-02,2219,
2012-03,2217,
2012-04,2252,
2012-05,2214,
2012-06,2292,
2012-07,2301,
2012-08,2307,
2012-09,2304,
2012-10,2451,
2012-11,2509,
2012-12,2539,
2013-01,2763,
2013-02,2977,
2013-03,3469,
2013-04,3746,
2013-05,3607,
2013-06,3751,
2013-07,3843,
2013-08,3803,
2013-09,4083,
2013-10,4086,
2013-11,4086,
2013-12,4440,
2014-01,4514,
2014-02,4451,
2014-03,4465,
2014-04,4384,
2014-05,4907,
2014-06,5208,
2014-07,5830,
2014-08,5955,
2014-09,6170,
2014-10,6191,
2014-11,6277,
