"",BBK01.OEAH88P,BBK01.OEAH88P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:54,
2002-01,0.236,
2002-04,0.097,
2002-07,0.061,
2002-10,0.102,
2003-01,0.132,
2003-04,0.217,
2003-07,0.322,
2003-10,0.562,
2004-01,0.331,
2004-04,0.161,
2004-07,0.164,
2004-10,0.138,
2005-01,0.182,
2005-04,0.208,
2005-07,0.128,
2005-10,0.134,
2006-01,0.114,
2006-04,0.140,
2006-07,0.156,
2006-10,0.157,
2007-01,0.201,
2007-04,0.191,
2007-07,0.176,
2007-10,0.272,
2008-01,0.387,
2008-04,0.277,
2008-07,0.346,
2008-10,0.311,
2009-01,0.170,
2009-04,0.176,
2009-07,0.199,
2009-10,0.211,
2010-01,0.217,
2010-04,0.137,
2010-07,0.303,
2010-10,0.461,
2011-01,0.427,
2011-04,0.489,
2011-07,0.644,
2011-10,0.834,
2012-01,0.861,
2012-04,1.249,
2012-07,0.958,
2012-10,0.640,
2013-01,0.637,
2013-04,0.513,
2013-07,0.229,
2013-10,0.225,
2014-01,0.042,
2014-04,0.059,
2014-07,0.071,
