"",BBK01.OEBB14R,BBK01.OEBB14R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:29,
2002-01,0.183,
2002-04,0.175,
2002-07,0.173,
2002-10,0.182,
2003-01,0.174,
2003-04,0.181,
2003-07,0.203,
2003-10,0.145,
2004-01,0.145,
2004-04,0.150,
2004-07,0.156,
2004-10,0.150,
2005-01,0.170,
2005-04,0.170,
2005-07,0.187,
2005-10,0.176,
2006-01,0.165,
2006-04,0.165,
2006-07,0.157,
2006-10,0.150,
2007-01,0.151,
2007-04,0.171,
2007-07,0.167,
2007-10,0.175,
2008-01,0.175,
2008-04,0.158,
2008-07,0.144,
2008-10,0.148,
2009-01,0.109,
2009-04,0.098,
2009-07,0.097,
2009-10,0.093,
2010-01,0.104,
2010-04,0.104,
2010-07,0.102,
2010-10,0.097,
2011-01,0.098,
2011-04,0.092,
2011-07,0.087,
2011-10,0.084,
2012-01,0.092,
2012-04,0.091,
2012-07,0.081,
2012-10,0.081,
2013-01,0.081,
2013-04,0.081,
2013-07,0.072,
2013-10,0.076,
2014-01,0.074,
2014-04,0.078,
2014-07,0.072,
