"",BBFB1.Q.N.DE.CA.S1.S1.T.C.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.CA.S1.S1.T.C.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Receipts / Canada,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:32:38,
1991-01,164.563,
1991-04,140.542,
1991-07,195.686,
1991-10,181.732,
1992-01,192.252,
1992-04,168.004,
1992-07,181.295,
1992-10,148.406,
1993-01,144.037,
1993-04,132.018,
1993-07,134.471,
1993-10,131.596,
1994-01,136.805,
1994-04,130.369,
1994-07,109.301,
1994-10,122.364,
1995-01,110.048,
1995-04,118.827,
1995-07,99.837,
1995-10,103.501,
1996-01,115.411,
1996-04,98.695,
1996-07,110.096,
1996-10,119.268,
1997-01,128.014,
1997-04,151.124,
1997-07,178.438,
1997-10,173.700,
1998-01,159.094,
1998-04,172.980,
1998-07,171.772,
1998-10,183.848,
1999-01,141.476,
1999-04,204.336,
1999-07,188.888,
1999-10,202.227,
2000-01,181.823,
2000-04,227.351,
2000-07,222.082,
2000-10,236.279,
2001-01,230.115,
2001-04,247.932,
2001-07,252.944,
2001-10,253.582,
2002-01,306.704,
2002-04,323.354,
2002-07,288.583,
2002-10,293.583,
2003-01,213.036,
2003-04,205.029,
2003-07,242.001,
2003-10,338.733,
2004-01,233.943,
2004-04,227.003,
2004-07,426.409,
2004-10,374.513,
2005-01,219.323,
2005-04,247.697,
2005-07,283.896,
2005-10,356.583,
2006-01,264.644,
2006-04,365.424,
2006-07,363.302,
2006-10,372.017,
2007-01,314.544,
2007-04,534.901,
2007-07,399.234,
2007-10,367.723,
2008-01,347.383,
2008-04,492.622,
2008-07,472.896,
2008-10,390.036,
2009-01,350.553,
2009-04,532.032,
2009-07,379.961,
2009-10,374.657,
2010-01,384.431,
2010-04,647.179,
2010-07,508.293,
2010-10,512.066,
2011-01,449.692,
2011-04,631.772,
2011-07,505.199,
2011-10,534.163,
2012-01,478.039,
2012-04,712.142,
2012-07,535.493,
2012-10,583.062,
2013-01,522.672,
2013-04,752.315,
2013-07,610.304,
2013-10,565.895,
2014-01,474.338,Provisional value
2014-04,695.560,Provisional value
2014-07,550.933,Provisional value
