"",BBFB1.Q.N.DE.B5.S1.S1.T.A.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.B5.S1.S1.T.A.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Long-term loans / EU28 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:40:27,
1991-01,1535.796,
1991-04,2354.355,
1991-07,1337.880,
1991-10,-680.791,
1992-01,-2246.455,
1992-04,-663.364,
1992-07,1480.070,
1992-10,963.082,
1993-01,880.831,
1993-04,2308.795,
1993-07,1221.114,
1993-10,3279.576,
1994-01,508.509,
1994-04,2097.721,
1994-07,651.352,
1994-10,1641.416,
1995-01,165.801,
1995-04,1137.109,
1995-07,2440.230,
1995-10,1857.356,
1996-01,2253.014,
1996-04,-103.452,
1996-07,-2018.934,
1996-10,3491.375,
1997-01,1207.407,
1997-04,2042.546,
1997-07,3851.599,
1997-10,8374.686,
1998-01,6172.440,
1998-04,1244.938,
1998-07,4117.609,
1998-10,1317.300,
1999-01,4326.105,
1999-04,9021.037,
1999-07,2982.992,
1999-10,4117.631,
2000-01,5291.330,
2000-04,2250.249,
2000-07,7255.475,
2000-10,7047.812,
2001-01,6471.533,
2001-04,9103.248,
2001-07,9137.650,
2001-10,13659.276,
2002-01,9868.577,
2002-04,6563.035,
2002-07,3757.488,
2002-10,7987.287,
2003-01,4520.138,
2003-04,4248.200,
2003-07,8740.638,
2003-10,3886.136,
2004-01,-2579.459,
2004-04,-2958.840,
2004-07,1795.973,
2004-10,2061.130,
2005-01,8885.238,
2005-04,19335.055,
2005-07,16645.334,
2005-10,13081.485,
2006-01,3485.528,
2006-04,12277.152,
2006-07,10808.800,
2006-10,22920.862,
2007-01,9102.885,
2007-04,14883.119,
2007-07,18004.731,
2007-10,8664.223,
2008-01,13642.844,
2008-04,39658.325,
2008-07,33627.944,
2008-10,15543.789,
2009-01,-698.427,
2009-04,17821.960,
2009-07,-8637.779,
2009-10,-9032.250,
2010-01,-12115.573,
2010-04,-1004.686,
2010-07,-23252.980,
2010-10,2954.618,
2011-01,171.848,
2011-04,-1708.580,
2011-07,7422.365,
2011-10,10944.694,
2012-01,-3304.698,
2012-04,8798.353,
2012-07,-4685.340,
2012-10,3798.835,
2013-01,-2206.481,
2013-04,2336.722,
2013-07,-5848.166,
2013-10,-5357.290,
2014-01,286.641,Provisional value
2014-04,-4480.317,Provisional value
2014-07,2450.939,Provisional value
2014-10,897.987,Provisional value
