"",BBSF2.M.1.T.00000.SON01.I.F.BGH.DE.00122.000000.EUR.00,BBSF2.M.1.T.00000.SON01.I.F.BGH.DE.00122.000000.EUR.00_FLAGS
"",Funds total / Other funds / Deposits and loan claims / Germany / Monetary financial institutes (MFIs) / Denominated in Euro,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:31,
2009-09,93,
2009-10,131,
2009-11,604,
2009-12,522,
2010-01,263,
2010-02,269,
2010-03,419,
2010-04,494,
2010-05,430,
2010-06,552,
2010-07,775,
2010-08,651,
2010-09,771,
2010-10,611,
2010-11,894,
2010-12,591,
2011-01,771,
2011-02,905,
2011-03,1033,
2011-04,928,
2011-05,1135,
2011-06,1096,
2011-07,861,
2011-08,933,
2011-09,934,
2011-10,1516,
2011-11,2095,
2011-12,1652,
2012-01,1703,
2012-02,1508,
2012-03,1538,
2012-04,1555,
2012-05,1530,
2012-06,1577,
2012-07,1896,
2012-08,1808,
2012-09,1912,
2012-10,1988,
2012-11,2537,
2012-12,1648,
2013-01,1556,
2013-02,1440,
2013-03,1674,
2013-04,1705,
2013-05,1433,
2013-06,1356,
2013-07,1499,
2013-08,1441,
2013-09,1603,
2013-10,1802,
2013-11,1527,
2013-12,1342,
2014-01,1533,
2014-02,1536,
2014-03,1663,
2014-04,1713,
2014-05,1755,
2014-06,1708,
2014-07,1727,
2014-08,1818,
2014-09,1996,
2014-10,1815,
2014-11,1739,
