"",BBFB1.Q.N.DE.S3.S1.S1.T.L.FA._T.F._Z._T._X.N,BBFB1.Q.N.DE.S3.S1.S1.T.L.FA._T.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Near and Middle East countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:58,
1991-01,-655.449,
1991-04,-1403.051,
1991-07,236.013,
1991-10,465.683,
1992-01,-740.495,
1992-04,-561.747,
1992-07,57.443,
1992-10,-431.680,
1993-01,-411.831,
1993-04,56.784,
1993-07,-548.525,
1993-10,-255.165,
1994-01,113.771,
1994-04,-373.886,
1994-07,-152.463,
1994-10,-141.740,
1995-01,412.108,
1995-04,30.315,
1995-07,138.279,
1995-10,-993.770,
1996-01,1782.078,
1996-04,-1895.023,
1996-07,-7.207,
1996-10,408.021,
1997-01,1232.638,
1997-04,-406.976,
1997-07,-1557.244,
1997-10,1878.047,
1998-01,1522.751,
1998-04,-360.519,
1998-07,2278.664,
1998-10,881.401,
1999-01,-2103.641,
1999-04,56.916,
1999-07,660.200,
1999-10,3882.924,
2000-01,570.462,
2000-04,1701.092,
2000-07,-338.823,
2000-10,1180.037,
2001-01,610.331,
2001-04,2074.008,
2001-07,-2315.435,
2001-10,-65.262,
2002-01,-415.626,
2002-04,336.581,
2002-07,-1833.902,
2002-10,1916.303,
2003-01,3708.799,
2003-04,2288.118,
2003-07,-2977.194,
2003-10,-2717.924,
2004-01,805.614,
2004-04,-3426.353,
2004-07,2134.086,
2004-10,2622.552,
2005-01,2488.292,
2005-04,-905.589,
2005-07,2512.640,
2005-10,-2148.845,
2006-01,865.933,
2006-04,3425.998,
2006-07,-602.848,
2006-10,1293.682,
2007-01,2431.983,
2007-04,306.993,
2007-07,2773.421,
2007-10,1945.367,
2008-01,-143.189,
2008-04,1173.705,
2008-07,-2333.167,
2008-10,-1850.810,
2009-01,8092.224,
2009-04,-1223.343,
2009-07,2870.309,
2009-10,7445.897,
2010-01,-3959.327,
2010-04,3628.305,
2010-07,-1700.721,
2010-10,2974.786,
2011-01,245.840,
2011-04,-3616.364,
2011-07,1305.045,
2011-10,2475.231,
2012-01,-380.118,
2012-04,-2644.368,
2012-07,6123.168,
2012-10,-1029.277,
2013-01,2054.041,
2013-04,-1224.551,
2013-07,-215.256,
2013-10,6161.416,
2014-01,-1738.360,Provisional value
2014-04,689.432,Provisional value
2014-07,1563.563,Provisional value
2014-10,-8554.645,Provisional value
