"",BBEX3.M.PKR.USD.CA.AA.A01,BBEX3.M.PKR.USD.CA.AA.A01_FLAGS
"",Exchange rates for the US dollar in Pakistan * / USD 1 = PKR ... (buying),
unit,PKR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:20:14,
1990-01,21.3986,
1990-02,21.3986,
1990-03,21.4585,
1990-04,21.8381,
1990-05,21.8781,
1990-06,21.7882,
1990-07,21.6983,
1990-08,21.7183,
1990-09,21.7183,
1990-10,21.8281,
1990-11,21.8281,
1990-12,21.8781,
1991-01,22.1278,
1991-02,22.1278,
1991-03,22.9270,
1991-04,23.4765,
1991-05,23.7762,
1991-06,24.2757,
1991-07,24.6253,
1991-08,24.6753,
1991-09,24.5754,
1991-10,24.6553,
1991-11,24.6953,
1991-12,24.6953,
1992-01,24.6253,
1992-02,24.6753,
1992-03,24.9550,
1992-04,25.0249,
1992-05,25.0749,
1992-06,25.1049,
1992-07,25.1049,
1992-08,25.0549,
1992-09,25.0549,
1992-10,25.2248,
1992-11,25.5444,
1992-12,25.6743,
1993-01,25.9740,
1993-02,26.2238,
1993-03,26.6234,
1993-04,26.6733,
1993-05,26.9131,
1993-06,27.1328,
1993-07,29.8201,
1993-08,29.8201,
1993-09,29.8201,
1993-10,30.0200,
1993-11,30.0200,
1993-12,30.0899,
1994-01,30.2297,
1994-02,30.4395,
1994-03,30.4695,
1994-04,30.5195,
1994-05,30.6194,
1994-06,30.6194,
1994-07,30.5594,
1994-08,30.6194,
1994-09,30.6194,
1994-10,30.6194,
1994-11,30.6693,
1994-12,30.7692,
1995-01,30.8291,
1995-02,30.8491,
1995-03,30.8491,
1995-04,30.8291,
1995-05,30.9390,
1995-06,30.9790,
1995-07,31.1588,
1995-08,31.2887,
1995-09,31.5185,
1995-10,34.2158,
1995-11,34.2158,
1995-12,34.2158,
1996-01,34.2957,
1996-02,34.3656,
1996-03,34.4855,
1996-04,34.7153,
1996-05,34.7952,
1996-06,35.0649,
1996-07,35.2847,
1996-08,35.5844,
1996-09,36.9330,
1996-10,40.0799,
1996-11,40.0799,
1996-12,40.0799,
1997-01,40.0799,
1997-02,40.0799,
1997-03,40.0799,
