"",BBFB1.Q.N.DE.CZ.S1.S1.T.B.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.CZ.S1.S1.T.B.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods (fob/fob) / Balance / Czech Republic,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:30:50,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,-,Nothing exists
1992-07,-,Nothing exists
1992-10,-,Nothing exists
1993-01,170.527,
1993-04,156.089,
1993-07,145.444,
1993-10,193.370,
1994-01,160.468,
1994-04,317.253,
1994-07,190.175,
1994-10,205.780,
1995-01,177.767,
1995-04,376.610,
1995-07,533.433,
1995-10,695.632,
1996-01,282.776,
1996-04,425.626,
1996-07,394.605,
1996-10,419.557,
1997-01,418.777,
1997-04,625.108,
1997-07,402.628,
1997-10,336.209,
1998-01,187.307,
1998-04,460.074,
1998-07,245.335,
1998-10,345.112,
1999-01,204.681,
1999-04,135.254,
1999-07,76.710,
1999-10,113.793,
2000-01,1.320,
2000-04,16.909,
2000-07,170.265,
2000-10,385.904,
2001-01,405.131,
2001-04,507.437,
2001-07,180.307,
2001-10,106.288,
2002-01,2.007,
2002-04,109.981,
2002-07,102.441,
2002-10,-106.481,
2003-01,-147.565,
2003-04,24.523,
2003-07,180.205,
2003-10,-414.656,
2004-01,-19.015,
2004-04,573.885,
2004-07,450.217,
2004-10,223.532,
2005-01,233.876,
2005-04,195.426,
2005-07,167.824,
2005-10,545.401,
2006-01,57.920,
2006-04,75.747,
2006-07,48.754,
2006-10,65.215,
2007-01,-92.691,
2007-04,-191.293,
2007-07,-10.561,
2007-10,76.497,
2008-01,233.889,
2008-04,-27.915,
2008-07,-175.578,
2008-10,-244.165,
2009-01,-674.875,
2009-04,-703.428,
2009-07,-357.803,
2009-10,-392.680,
2010-01,-556.861,
2010-04,-493.654,
2010-07,-406.485,
2010-10,-240.341,
2011-01,-318.236,
2011-04,-317.438,
2011-07,-297.773,
2011-10,-407.530,
2012-01,45.043,
2012-04,-259.389,
2012-07,-23.881,
2012-10,-300.531,
2013-01,-59.076,
2013-04,-409.353,
2013-07,-366.310,
2013-10,-498.316,
2014-01,-463.406,Provisional value
2014-04,-562.868,Provisional value
2014-07,-718.455,Provisional value
