"",BBK01.OEBB04K,BBK01.OEBB04K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:08,
2002-01,15.894,
2002-04,15.646,
2002-07,15.697,
2002-10,15.701,
2003-01,15.460,
2003-04,15.356,
2003-07,15.845,
2003-10,15.120,
2004-01,16.056,
2004-04,15.853,
2004-07,15.717,
2004-10,15.697,
2005-01,14.184,
2005-04,14.239,
2005-07,14.843,
2005-10,15.096,
2006-01,15.347,
2006-04,15.534,
2006-07,15.775,
2006-10,15.987,
2007-01,15.991,
2007-04,16.195,
2007-07,16.614,
2007-10,16.793,
2008-01,17.005,
2008-04,18.235,
2008-07,19.199,
2008-10,19.653,
2009-01,19.829,
2009-04,23.524,
2009-07,23.813,
2009-10,24.247,
2010-01,24.699,
2010-04,25.743,
2010-07,24.484,
2010-10,25.583,
2011-01,25.064,
2011-04,25.045,
2011-07,26.097,
2011-10,27.020,
2012-01,27.000,
2012-04,32.335,
2012-07,31.776,
2012-10,37.386,
2013-01,37.182,
2013-04,36.166,
2013-07,35.697,
2013-10,34.573,
2014-01,34.045,
2014-04,33.956,
2014-07,34.819,
