"",BBK01.OEAK04V,BBK01.OEAK04V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:28,
2002-01,0.659,
2002-04,0.647,
2002-07,0.648,
2002-10,0.669,
2003-01,0.664,
2003-04,0.629,
2003-07,0.657,
2003-10,0.646,
2004-01,0.628,
2004-04,0.546,
2004-07,0.538,
2004-10,0.550,
2005-01,0.550,
2005-04,0.530,
2005-07,0.504,
2005-10,0.515,
2006-01,0.556,
2006-04,0.559,
2006-07,0.565,
2006-10,0.591,
2007-01,0.606,
2007-04,0.622,
2007-07,0.687,
2007-10,0.731,
2008-01,0.757,
2008-04,0.768,
2008-07,0.799,
2008-10,0.791,
2009-01,0.547,
2009-04,0.465,
2009-07,0.368,
2009-10,0.331,
2010-01,0.284,
2010-04,0.266,
2010-07,0.228,
2010-10,0.219,
2011-01,0.229,
2011-04,0.290,
2011-07,0.295,
2011-10,0.311,
2012-01,0.250,
2012-04,0.978,
2012-07,0.954,
2012-10,0.971,
2013-01,0.966,
2013-04,0.962,
2013-07,0.966,
2013-10,0.962,
2014-01,0.965,
2014-04,0.958,
2014-07,0.954,
