"",BBK01.OXA8G3,BBK01.OXA8G3_FLAGS
"",Long-term loans (including bills of exchange) to domestic enterprises - All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:14:57,
1999-01,445.479,
1999-02,443.899,
1999-03,436.761,
1999-04,437.589,
1999-05,439.951,
1999-06,440.574,
1999-07,444.882,
1999-08,447.482,
1999-09,449.765,
1999-10,452.875,
1999-11,456.795,
1999-12,462.886,
2000-01,464.832,
2000-02,466.812,
2000-03,467.800,
2000-04,467.969,
2000-05,471.192,
2000-06,471.237,
2000-07,474.202,
2000-08,477.599,
2000-09,478.316,
2000-10,480.698,
2000-11,483.346,
2000-12,484.372,
2001-01,485.410,
2001-02,488.032,
2001-03,488.691,
2001-04,488.554,
2001-05,490.835,
2001-06,490.789,
2001-07,492.639,
2001-08,495.528,
2001-09,495.466,
2001-10,497.265,
2001-11,499.350,
2001-12,500.059,
2002-01,501.697,
2002-02,502.607,
2002-03,502.407,
2002-04,502.701,
2002-05,504.041,
2002-06,503.357,
2002-07,506.519,
2002-08,507.950,
2002-09,505.553,
2002-10,506.746,
2002-11,507.665,
2002-12,507.568,
2003-01,506.961,
2003-02,507.521,
2003-03,504.655,
2003-04,506.365,
2003-05,506.788,
2003-06,505.479,
2003-07,505.736,
2003-08,508.617,
2003-09,505.675,
2003-10,506.979,
2003-11,508.685,
2003-12,507.150,
2004-01,506.859,
2004-02,507.705,
2004-03,506.981,
2004-04,509.084,
2004-05,511.782,
2004-06,509.261,
2004-07,508.440,
2004-08,508.999,
2004-09,509.482,
2004-10,510.004,
2004-11,510.597,
2004-12,507.332,
2005-01,507.779,
2005-02,506.893,
2005-03,504.421,
2005-04,505.377,
2005-05,507.412,
2005-06,506.190,
2005-07,508.285,
2005-08,507.260,
2005-09,505.315,
2005-10,506.718,
2005-11,508.704,
2005-12,509.564,
2006-01,519.748,
2006-02,522.399,
2006-03,518.596,
2006-04,520.294,
2006-05,521.360,
2006-06,520.552,
2006-07,520.308,
2006-08,522.040,
2006-09,521.134,
2006-10,517.437,
2006-11,519.322,
2006-12,518.792,
2007-01,520.233,
2007-02,520.984,
2007-03,520.399,
2007-04,519.819,
2007-05,520.612,
2007-06,520.078,
2007-07,522.353,
2007-08,526.816,
2007-09,525.036,
2007-10,527.022,
2007-11,530.488,
2007-12,532.992,
2008-01,534.402,
2008-02,535.145,
2008-03,534.429,
2008-04,537.836,
2008-05,540.585,
2008-06,540.119,
2008-07,544.666,
2008-08,549.432,
2008-09,550.746,
2008-10,557.713,
2008-11,558.231,
2008-12,559.380,
2009-01,561.841,
2009-02,561.699,
2009-03,559.019,
2009-04,559.254,
2009-05,559.213,
2009-06,558.125,
2009-07,562.800,
2009-08,564.449,
2009-09,562.280,
2009-10,562.046,
2009-11,567.213,
2009-12,568.342,
2010-01,570.723,
2010-02,573.225,
2010-03,570.815,
2010-04,573.575,
2010-05,578.210,
2010-06,578.035,
2010-07,579.447,
2010-08,582.795,
2010-09,579.609,
2010-10,579.680,
2010-11,584.638,
2010-12,584.830,
2011-01,584.818,
2011-02,587.049,
2011-03,583.402,
2011-04,583.277,
2011-05,585.681,
2011-06,585.194,
2011-07,587.060,
2011-08,588.045,
2011-09,588.165,
2011-10,589.006,
2011-11,592.585,
2011-12,593.306,
2012-01,594.670,
2012-02,596.658,
2012-03,595.535,
2012-04,595.384,
2012-05,599.430,
2012-06,598.473,
2012-07,602.475,
2012-08,603.680,
2012-09,600.457,
2012-10,599.373,
2012-11,601.578,
2012-12,597.066,
2013-01,596.164,
2013-02,598.751,
2013-03,597.445,
2013-04,597.630,
2013-05,598.768,
2013-06,597.899,
2013-07,597.946,
2013-08,597.244,
2013-09,594.323,
2013-10,595.138,
2013-11,598.525,
2013-12,599.540,
2014-01,600.752,
2014-02,599.698,
2014-03,597.323,
2014-04,598.650,
2014-05,601.943,
2014-06,597.771,
2014-07,600.332,
2014-08,603.663,
2014-09,602.397,
2014-10,603.884,
2014-11,607.243,
2014-12,604.828,Provisional value
