"",BBFI1.Q.N.DE.W1.S121.S1.LE.A.FA.O.F2.S._T.N.N,BBFI1.Q.N.DE.W1.S121.S1.LE.A.FA.O.F2.S._T.N.N_FLAGS
"",IIP - Other Investment - Currency and deposits - Central bank - Short-term original maturity (up to 1 year incl. incl.) - Assets - Positions - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:02:53,
1999-10,35435,
2000-01,-,Nothing exists
2000-04,-,Nothing exists
2000-07,-,Nothing exists
2000-10,-6837,
2001-01,-,Nothing exists
2001-04,-,Nothing exists
2001-07,-,Nothing exists
2001-10,-30852,
2002-01,-,Nothing exists
2002-04,-,Nothing exists
2002-07,-,Nothing exists
2002-10,4996,
2003-01,-,Nothing exists
2003-04,-,Nothing exists
2003-07,-,Nothing exists
2003-10,4476,
2004-01,11110,
2004-04,-20891,
2004-07,10540,
2004-10,7854,
2005-01,12686,
2005-04,-2800,
2005-07,6807,
2005-10,29889,
2006-01,2601,
2006-04,-11821,
2006-07,15312,
2006-10,5401,
2007-01,20943,
2007-04,17600,
2007-07,47465,
2007-10,71052,
2008-01,87016,
2008-04,95538,
2008-07,99960,
2008-10,115653,
2009-01,151683,
2009-04,171055,
2009-07,179037,
2009-10,177938,
2010-01,207419,
2010-04,249419,
2010-07,309981,
2010-10,325555,
2011-01,323230,
2011-04,336541,
2011-07,449614,
2011-10,463313,
2012-01,615594,
2012-04,728569,
2012-07,695461,
2012-10,655676,
2013-01,588723,
2013-04,575477,
2013-07,570368,
2013-10,510201,
2014-01,470075,
2014-04,461818,
2014-07,479920,
