"",BBK01.TQ7129T,BBK01.TQ7129T_FLAGS
"",Deposit takers - Geographical distribution of loans - Czech Republic                                     FSI-S290,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-23 10:06:25,
2005-10,4194,
2006-01,.,No value available
2006-04,.,No value available
2006-07,.,No value available
2006-10,4178,
2007-01,.,No value available
2007-04,.,No value available
2007-07,.,No value available
2007-10,3905,
2008-01,.,No value available
2008-04,.,No value available
2008-07,.,No value available
2008-10,4446,
2009-01,.,No value available
2009-04,.,No value available
2009-07,.,No value available
2009-10,4023,
2010-01,.,No value available
2010-04,.,No value available
2010-07,.,No value available
2010-10,4597,
2011-01,.,No value available
2011-04,.,No value available
2011-07,.,No value available
2011-10,4715,
2012-01,.,No value available
2012-04,.,No value available
2012-07,.,No value available
2012-10,3169,
2013-01,3254,
2013-04,2994,
2013-07,3262,
2013-10,3659,
2014-01,3888,
2014-04,4390,
2014-07,4274,
