"",BBK01.OEAC06V,BBK01.OEAC06V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:10,
2002-01,0.421,
2002-04,0.448,
2002-07,0.458,
2002-10,0.456,
2003-01,0.443,
2003-04,0.451,
2003-07,0.458,
2003-10,0.419,
2004-01,0.412,
2004-04,0.449,
2004-07,0.453,
2004-10,0.415,
2005-01,0.405,
2005-04,0.417,
2005-07,0.432,
2005-10,0.422,
2006-01,0.432,
2006-04,0.454,
2006-07,0.463,
2006-10,0.470,
2007-01,0.484,
2007-04,0.522,
2007-07,0.544,
2007-10,0.519,
2008-01,0.528,
2008-04,0.552,
2008-07,0.566,
2008-10,0.559,
2009-01,0.560,
2009-04,0.592,
2009-07,0.621,
2009-10,0.562,
2010-01,0.585,
2010-04,0.612,
2010-07,0.637,
2010-10,0.607,
2011-01,0.611,
2011-04,0.650,
2011-07,0.676,
2011-10,0.669,
2012-01,0.666,
2012-04,0.702,
2012-07,0.731,
2012-10,0.720,
2013-01,0.731,
2013-04,0.758,
2013-07,0.793,
2013-10,0.779,
2014-01,0.796,
2014-04,0.863,
2014-07,0.913,
