"",BBK01.OEAE04K,BBK01.OEAE04K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:50,
2002-01,14.391,
2002-04,14.634,
2002-07,15.200,
2002-10,15.511,
2003-01,15.722,
2003-04,15.495,
2003-07,15.761,
2003-10,16.073,
2004-01,16.252,
2004-04,13.749,
2004-07,15.133,
2004-10,14.584,
2005-01,15.341,
2005-04,15.251,
2005-07,14.052,
2005-10,13.703,
2006-01,14.340,
2006-04,14.431,
2006-07,14.135,
2006-10,13.696,
2007-01,13.273,
2007-04,13.052,
2007-07,12.786,
2007-10,12.650,
2008-01,12.984,
2008-04,13.439,
2008-07,13.696,
2008-10,13.401,
2009-01,11.799,
2009-04,12.864,
2009-07,13.278,
2009-10,13.436,
2010-01,13.756,
2010-04,14.072,
2010-07,14.279,
2010-10,14.063,
2011-01,14.356,
2011-04,14.425,
2011-07,15.133,
2011-10,15.465,
2012-01,15.788,
2012-04,16.269,
2012-07,16.916,
2012-10,17.385,
2013-01,17.798,
2013-04,17.851,
2013-07,18.378,
2013-10,18.684,
2014-01,19.260,
2014-04,19.765,
2014-07,19.167,
