"",BBK01.OEHB05H,BBK01.OEHB05H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:11,
2002-01,93.720,
2002-04,94.094,
2002-07,94.462,
2002-10,94.953,
2003-01,94.816,
2003-04,95.059,
2003-07,95.729,
2003-10,95.623,
2004-01,95.177,
2004-04,95.391,
2004-07,95.224,
2004-10,94.834,
2005-01,94.425,
2005-04,94.422,
2005-07,94.610,
2005-10,94.666,
2006-01,94.541,
2006-04,94.788,
2006-07,94.817,
2006-10,94.473,
2007-01,93.911,
2007-04,93.880,
2007-07,93.847,
2007-10,93.939,
2008-01,93.693,
2008-04,93.874,
2008-07,94.525,
2008-10,95.179,
2009-01,95.270,
2009-04,95.605,
2009-07,96.462,
2009-10,97.288,
2010-01,98.322,
2010-04,99.760,
2010-07,100.836,
2010-10,101.451,
2011-01,102.168,
2011-04,102.958,
2011-07,103.759,
2011-10,104.340,
2012-01,105.159,
2012-04,106.178,
2012-07,107.592,
2012-10,108.838,
2013-01,109.688,
2013-04,110.483,
2013-07,111.318,
2013-10,111.560,
2014-01,111.970,
2014-04,112.685,
2014-07,113.716,
