"",BBFB1.Q.N.DE.W1.S1.S1.T.D.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.W1.S1.S1.T.D.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Expenditure / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:27:01,
1991-01,17274.110,
1991-04,18538.910,
1991-07,22091.143,
1991-10,18811.674,
1992-01,19143.487,
1992-04,20429.781,
1992-07,24119.688,
1992-10,20766.753,
1993-01,19313.434,
1993-04,21225.869,
1993-07,25140.579,
1993-10,20952.858,
1994-01,20780.187,
1994-04,22418.839,
1994-07,27074.014,
1994-10,22103.035,
1995-01,22703.263,
1995-04,23245.735,
1995-07,28042.182,
1995-10,23522.873,
1996-01,22792.361,
1996-04,24762.036,
1996-07,29586.785,
1996-10,25692.228,
1997-01,25292.188,
1997-04,27891.732,
1997-07,32723.692,
1997-10,28360.400,
1998-01,26660.446,
1998-04,29137.476,
1998-07,34693.061,
1998-10,29732.582,
1999-01,27888.534,
1999-04,31658.257,
1999-07,37417.906,
1999-10,34936.685,
2000-01,32272.364,
2000-04,35486.137,
2000-07,41548.015,
2000-10,39335.667,
2001-01,36309.656,
2001-04,38386.335,
2001-07,44451.958,
2001-10,39193.380,
2002-01,35649.768,
2002-04,37333.112,
2002-07,42871.514,
2002-10,37390.709,
2003-01,34828.331,
2003-04,36543.656,
2003-07,44158.625,
2003-10,37030.365,
2004-01,35437.339,
2004-04,38975.448,
2004-07,44453.667,
2004-10,38660.186,
2005-01,37010.841,
2005-04,40432.224,
2005-07,48533.595,
2005-10,43019.690,
2006-01,40786.337,
2006-04,42475.298,
2006-07,50163.421,
2006-10,45517.028,
2007-01,42384.917,
2007-04,45296.960,
2007-07,54255.321,
2007-10,47087.266,
2008-01,44538.173,
2008-04,48464.387,
2008-07,55690.001,
2008-10,47358.489,
2009-01,40729.830,
2009-04,43905.609,
2009-07,50529.026,
2009-10,44138.525,
2010-01,42503.794,
2010-04,49383.785,
2010-07,56236.802,
2010-10,50663.186,
2011-01,47278.798,
2011-04,51430.714,
2011-07,59726.922,
2011-10,53639.917,
2012-01,51038.510,
2012-04,54241.611,
2012-07,63347.644,
2012-10,55490.888,
2013-01,55631.126,
2013-04,59668.096,
2013-07,68418.940,
2013-10,60626.347,
2014-01,54572.555,Provisional value
2014-04,59311.439,Provisional value
2014-07,70370.420,Provisional value
