"",BBK01.OELI09M,BBK01.OELI09M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:18,
2002-01,2.629,
2002-04,2.513,
2002-07,2.488,
2002-10,2.465,
2003-01,2.405,
2003-04,2.263,
2003-07,2.124,
2003-10,2.060,
2004-01,2.102,
2004-04,2.092,
2004-07,2.092,
2004-10,2.145,
2005-01,2.160,
2005-04,2.111,
2005-07,2.122,
2005-10,2.132,
2006-01,2.236,
2006-04,2.285,
2006-07,2.366,
2006-10,2.376,
2007-01,2.390,
2007-04,2.348,
2007-07,2.365,
2007-10,2.328,
2008-01,2.287,
2008-04,2.082,
2008-07,1.967,
2008-10,1.953,
2009-01,1.975,
2009-04,2.063,
2009-07,2.375,
2009-10,2.581,
2010-01,2.707,
2010-04,2.624,
2010-07,2.342,
2010-10,2.060,
2011-01,1.915,
2011-04,1.845,
2011-07,1.789,
2011-10,1.487,
2012-01,1.702,
2012-04,1.620,
2012-07,1.616,
2012-10,1.619,
2013-01,1.692,
2013-04,1.660,
2013-07,1.638,
2013-10,1.573,
2014-01,1.559,
2014-04,1.548,
2014-07,1.548,
