"",BBK01.OEHB09Q,BBK01.OEHB09Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:48,
2002-01,4.611,
2002-04,4.739,
2002-07,4.741,
2002-10,5.055,
2003-01,5.039,
2003-04,5.160,
2003-07,5.281,
2003-10,5.245,
2004-01,5.264,
2004-04,5.333,
2004-07,5.285,
2004-10,5.303,
2005-01,5.416,
2005-04,5.547,
2005-07,5.535,
2005-10,5.443,
2006-01,5.530,
2006-04,5.662,
2006-07,5.596,
2006-10,5.591,
2007-01,5.691,
2007-04,5.700,
2007-07,5.716,
2007-10,5.961,
2008-01,6.158,
2008-04,6.278,
2008-07,6.429,
2008-10,6.460,
2009-01,6.566,
2009-04,6.802,
2009-07,6.922,
2009-10,6.886,
2010-01,6.957,
2010-04,7.150,
2010-07,7.263,
2010-10,7.286,
2011-01,7.373,
2011-04,7.415,
2011-07,7.382,
2011-10,7.390,
2012-01,7.525,
2012-04,7.599,
2012-07,7.670,
2012-10,7.809,
2013-01,7.889,
2013-04,7.941,
2013-07,8.063,
2013-10,8.038,
2014-01,8.181,
2014-04,8.345,
2014-07,8.493,
