"",BBAI3.Q.DE.N.V.LE.F41.S1252.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F41.S1252.A1.S.1.N.E.Z_FLAGS
"",Assets / Pension undertakings / Loans up to 1 year / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:45,
2005-10,102,
2006-01,113,
2006-04,74,
2006-07,86,
2006-10,84,
2007-01,54,
2007-04,52,
2007-07,46,
2007-10,53,
2008-01,55,
2008-04,52,
2008-07,65,
2008-10,59,
2009-01,86,
2009-04,68,
2009-07,60,
2009-10,42,
2010-01,47,
2010-04,50,
2010-07,53,
2010-10,58,
2011-01,58,
2011-04,56,
2011-07,61,
2011-10,51,
2012-01,55,
2012-04,59,
2012-07,61,
2012-10,61,
2013-01,124,
2013-04,123,
2013-07,134,
2013-10,153,
2014-01,162,
2014-04,82,
2014-07,82,
