"",BBK01.OEBI08N,BBK01.OEBI08N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:02,
2002-01,35.923,
2002-04,34.091,
2002-07,34.128,
2002-10,37.643,
2003-01,39.343,
2003-04,39.792,
2003-07,41.285,
2003-10,43.501,
2004-01,44.243,
2004-04,44.427,
2004-07,45.494,
2004-10,10.817,
2005-01,18.176,
2005-04,18.129,
2005-07,17.730,
2005-10,17.457,
2006-01,17.187,
2006-04,16.807,
2006-07,16.279,
2006-10,16.177,
2007-01,16.246,
2007-04,16.131,
2007-07,15.927,
2007-10,16.303,
2008-01,16.280,
2008-04,16.444,
2008-07,15.986,
2008-10,16.236,
2009-01,16.660,
2009-04,17.420,
2009-07,18.803,
2009-10,20.113,
2010-01,20.374,
2010-04,20.035,
2010-07,19.956,
2010-10,20.077,
2011-01,19.724,
2011-04,18.730,
2011-07,18.293,
2011-10,18.141,
2012-01,19.602,
2012-04,19.375,
2012-07,19.569,
2012-10,19.958,
2013-01,19.130,
2013-04,18.961,
2013-07,18.817,
2013-10,18.941,
2014-01,18.616,
2014-04,18.266,
2014-07,18.325,
