"",BBFN1.M.DE.N.1.A.GR.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.GR.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Total / Greece,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:10:17,
1994-12,0.905,
1995-01,0.937,
1995-02,0.987,
1995-03,0.950,
1995-04,0.983,
1995-05,0.983,
1995-06,1.009,
1995-07,0.968,
1995-08,0.917,
1995-09,0.897,
1995-10,0.891,
1995-11,1.193,
1995-12,0.885,
1996-01,0.905,
1996-02,0.916,
1996-03,0.964,
1996-04,0.957,
1996-05,0.955,
1996-06,0.968,
1996-07,0.952,
1996-08,0.946,
1996-09,0.925,
1996-10,0.935,
1996-11,0.982,
1996-12,0.929,
1997-01,0.929,
1997-02,0.956,
1997-03,1.000,
1997-04,1.039,
1997-05,1.023,
1997-06,1.048,
1997-07,1.070,
1997-08,1.070,
1997-09,1.112,
1997-10,1.153,
1997-11,1.164,
1997-12,1.175,
1998-01,1.158,
1998-02,1.220,
1998-03,1.192,
1998-04,1.227,
1998-05,1.261,
1998-06,1.338,
1998-07,1.323,
1998-08,1.334,
1998-09,1.351,
1998-10,1.434,
1998-11,1.375,
1998-12,1.399,
1999-01,1.430,
1999-02,1.476,
1999-03,1.492,
1999-04,1.563,
1999-05,1.657,
1999-06,1.646,
1999-07,1.583,
1999-08,1.614,
1999-09,1.663,
1999-10,1.793,
1999-11,1.837,
1999-12,1.805,
2000-01,1.674,
2000-02,1.739,
2000-03,1.821,
2000-04,1.814,
2000-05,1.889,
2000-06,1.887,
2000-07,1.857,
2000-08,1.838,
2000-09,1.915,
2000-10,1.953,
2000-11,1.982,
2000-12,1.966,
2001-01,1.997,
2001-02,1.879,
2001-03,1.936,
2001-04,1.974,
2001-05,1.993,
2001-06,2.053,
2001-07,1.950,
2001-08,1.956,
2001-09,1.965,
2001-10,2.064,
2001-11,2.120,
2001-12,2.630,
2002-01,2.637,
2002-02,2.605,
2002-03,1.940,
2002-04,2.030,
2002-05,2.019,
2002-06,2.050,
2002-07,1.993,
2002-08,1.933,
2002-09,1.947,
2002-10,2.023,
2002-11,1.992,
2002-12,2.059,
2003-01,2.069,
2003-02,2.060,
2003-03,2.109,
2003-04,2.011,
2003-05,1.991,
2003-06,1.974,
2003-07,1.967,
2003-08,1.897,
2003-09,1.864,
2003-10,1.922,
2003-11,1.962,
2003-12,1.929,
2004-01,1.953,
2004-02,2.030,
2004-03,2.085,
2004-04,2.121,
2004-05,2.181,
2004-06,2.252,
2004-07,2.495,
2004-08,2.002,
2004-09,1.953,
2004-10,2.020,
2004-11,2.044,
2004-12,1.852,
2005-01,1.847,
2005-02,2.024,
2005-03,2.006,
2005-04,2.066,
2005-05,2.133,
2005-06,2.137,
2005-07,2.108,
2005-08,1.958,
2005-09,1.996,
2005-10,1.943,
2005-11,1.998,
2005-12,1.908,
2006-01,1.899,
2006-02,1.962,
2006-03,2.058,
2006-04,2.336,
2006-05,2.371,
2006-06,2.422,
2006-07,2.432,
2006-08,2.343,
2006-09,2.276,
2006-10,2.370,
2006-11,2.470,
2006-12,2.409,
2007-01,2.472,
2007-02,2.543,
2007-03,3.055,
2007-04,2.733,
2007-05,2.807,
2007-06,2.911,
2007-07,2.904,
2007-08,2.605,
2007-09,2.604,
2007-10,2.658,
2007-11,2.779,
2007-12,2.563,
2008-01,2.588,
2008-02,2.655,
2008-03,2.845,
2008-04,2.950,
2008-05,3.036,
2008-06,2.991,
2008-07,2.991,
2008-08,2.937,
2008-09,2.981,
2008-10,2.740,
2008-11,2.870,
2008-12,2.723,
2009-01,2.828,
2009-02,2.862,
2009-03,2.847,
2009-04,2.876,
2009-05,2.822,
2009-06,2.886,
2009-07,3.099,
2009-08,2.940,
2009-09,2.723,
2009-10,2.770,
2009-11,2.839,
2009-12,2.622,
2010-01,2.705,
2010-02,2.703,
2010-03,2.721,
2010-04,2.562,
2010-05,2.575,
2010-06,2.648,
2010-07,2.576,
2010-08,2.430,
2010-09,2.510,
2010-10,2.510,
2010-11,2.325,
2010-12,2.275,
2011-01,2.262,
2011-02,2.302,
2011-03,2.363,
2011-04,2.761,
2011-05,2.376,
2011-06,2.231,
2011-07,2.163,
2011-08,2.043,
2011-09,2.029,
2011-10,1.936,
2011-11,1.933,
2011-12,1.837,
2012-01,1.831,
2012-02,1.838,
2012-03,1.854,
2012-04,1.718,
2012-05,1.775,
2012-06,1.779,
2012-07,1.728,
2012-08,1.649,
2012-09,1.598,
2012-10,1.564,
2012-11,1.581,
2012-12,1.483,
2013-01,1.413,
2013-02,1.422,
2013-03,1.439,
2013-04,1.504,
2013-05,1.483,
2013-06,1.507,
2013-07,1.486,
2013-08,1.476,
2013-09,1.431,
2013-10,1.424,
2013-11,1.436,
2013-12,1.416,
2014-01,1.361,
2014-02,1.402,
2014-03,1.509,
2014-04,1.600,
2014-05,1.662,
2014-06,1.692,
2014-07,1.627,
2014-08,1.548,
2014-09,1.548,
2014-10,1.574,
2014-11,1.415,
2014-12,1.393,
