"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.U2.00000.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.U2.00000.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / Euro area (changing composition),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:49,
2009-09,352119,
2009-10,352316,
2009-11,355693,
2009-12,357455,
2010-01,365491,
2010-02,368139,
2010-03,371922,
2010-04,365948,
2010-05,366529,
2010-06,366498,
2010-07,368751,
2010-08,378624,
2010-09,375946,
2010-10,376899,
2010-11,369099,
2010-12,366474,
2011-01,362077,
2011-02,365536,
2011-03,365405,
2011-04,364008,
2011-05,365906,
2011-06,363241,
2011-07,366494,
2011-08,370236,
2011-09,367868,
2011-10,367436,
2011-11,359959,
2011-12,370940,
2012-01,370268,
2012-02,379131,
2012-03,382249,
2012-04,381890,
2012-05,386539,
2012-06,383669,
2012-07,391327,
2012-08,395443,
2012-09,396887,
2012-10,399577,
2012-11,404316,
2012-12,408789,
2013-01,408259,
2013-02,412394,
2013-03,416800,
2013-04,424073,
2013-05,421462,
2013-06,413951,
2013-07,417514,
2013-08,417207,
2013-09,417376,
2013-10,417254,
2013-11,417945,
2013-12,414985,
2014-01,424223,
2014-02,429453,
2014-03,436665,
2014-04,436585,
2014-05,443148,
2014-06,444115,
2014-07,447405,
2014-08,453541,
2014-09,452157,
2014-10,452784,
2014-11,456769,
