"",BBK01.OEAH94G,BBK01.OEAH94G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:23:41,
2002-01,2.732,
2002-04,2.798,
2002-07,2.894,
2002-10,2.835,
2003-01,2.820,
2003-04,2.852,
2003-07,2.808,
2003-10,2.840,
2004-01,2.833,
2004-04,2.714,
2004-07,2.695,
2004-10,2.825,
2005-01,2.762,
2005-04,2.634,
2005-07,2.578,
2005-10,2.489,
2006-01,2.505,
2006-04,2.435,
2006-07,2.399,
2006-10,2.418,
2007-01,2.449,
2007-04,2.453,
2007-07,2.590,
2007-10,2.590,
2008-01,2.324,
2008-04,2.341,
2008-07,2.259,
2008-10,2.141,
2009-01,2.108,
2009-04,2.091,
2009-07,2.024,
2009-10,1.998,
2010-01,2.061,
2010-04,2.136,
2010-07,2.025,
2010-10,2.222,
2011-01,2.168,
2011-04,2.082,
2011-07,2.000,
2011-10,1.972,
2012-01,1.838,
2012-04,1.811,
2012-07,1.788,
2012-10,1.680,
2013-01,1.615,
2013-04,1.545,
2013-07,1.163,
2013-10,0.945,
2014-01,0.861,
2014-04,0.778,
2014-07,0.747,
