"",BBFN1.M.DE.N.1.L.NO.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.NO.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Norway,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:16:54,
1982-09,0.068,
1982-10,0.067,
1982-11,0.067,
1982-12,0.062,
1983-01,0.062,
1983-02,0.062,
1983-03,0.063,
1983-04,0.069,
1983-05,0.101,
1983-06,0.104,
1983-07,0.104,
1983-08,0.102,
1983-09,0.114,
1983-10,0.114,
1983-11,0.112,
1983-12,0.103,
1984-01,0.105,
1984-02,0.103,
1984-03,0.108,
1984-04,0.105,
1984-05,0.106,
1984-06,0.105,
1984-07,0.107,
1984-08,0.108,
1984-09,0.107,
1984-10,0.107,
1984-11,0.112,
1984-12,0.116,
1985-01,0.120,
1985-02,0.123,
1985-03,0.139,
1985-04,0.132,
1985-05,0.135,
1985-06,0.130,
1985-07,0.144,
1985-08,0.165,
1985-09,0.165,
1985-10,0.172,
1985-11,0.183,
1985-12,0.186,
1986-01,0.186,
1986-02,0.185,
1986-03,0.185,
1986-04,0.183,
1986-05,0.180,
1986-06,0.175,
1986-07,0.177,
1986-08,0.176,
1986-09,0.180,
1986-10,0.179,
1986-11,0.181,
1986-12,0.181,
1987-01,0.159,
1987-02,0.140,
1987-03,0.138,
1987-04,0.129,
1987-05,0.127,
1987-06,0.142,
1987-07,0.132,
1987-08,0.142,
1987-09,0.124,
1987-10,0.103,
1987-11,0.100,
1987-12,0.095,
1988-01,0.107,
1988-02,0.111,
1988-03,0.124,
1988-04,0.127,
1988-05,0.136,
1988-06,0.136,
1988-07,0.137,
1988-08,0.136,
1988-09,0.129,
1988-10,0.137,
1988-11,0.138,
1988-12,0.141,
1989-01,0.148,
1989-02,0.147,
1989-03,0.146,
1989-04,0.146,
1989-05,0.148,
1989-06,0.145,
1989-07,0.161,
1989-08,0.154,
1989-09,0.148,
1989-10,0.145,
1989-11,0.146,
1989-12,0.148,
1990-01,0.149,
1990-02,0.152,
1990-03,0.152,
1990-04,0.156,
1990-05,0.156,
1990-06,0.156,
1990-07,0.157,
1990-08,0.160,
1990-09,0.165,
1990-10,0.165,
1990-11,0.154,
1990-12,0.160,
1991-01,0.147,
1991-02,0.131,
1991-03,0.129,
1991-04,0.127,
1991-05,0.143,
1991-06,0.155,
1991-07,0.146,
1991-08,0.149,
1991-09,0.151,
1991-10,0.150,
1991-11,0.146,
1991-12,0.133,
1992-01,0.124,
1992-02,0.149,
1992-03,0.143,
1992-04,0.135,
1992-05,0.133,
1992-06,0.142,
1992-07,0.145,
1992-08,0.154,
1992-09,0.169,
1992-10,0.174,
1992-11,0.163,
1992-12,0.161,
1993-01,0.164,
1993-02,0.170,
1993-03,0.172,
1993-04,0.134,
1993-05,0.112,
1993-06,0.105,
1993-07,0.112,
1993-08,0.155,
1993-09,0.134,
1993-10,0.116,
1993-11,0.107,
1993-12,0.104,
1994-01,0.102,
1994-02,0.108,
1994-03,0.106,
1994-04,0.104,
1994-05,0.093,
1994-06,0.094,
1994-07,0.089,
1994-08,0.085,
1994-09,0.090,
1994-10,0.075,
1994-11,0.087,
1994-12,0.084,
1995-01,0.066,
1995-02,0.089,
1995-03,0.090,
1995-04,0.090,
1995-05,0.087,
1995-06,0.100,
1995-07,0.089,
1995-08,0.073,
1995-09,0.066,
1995-10,0.099,
1995-11,0.115,
1995-12,0.103,
1996-01,0.121,
1996-02,0.119,
1996-03,0.119,
1996-04,0.109,
1996-05,0.111,
1996-06,0.110,
1996-07,0.116,
1996-08,0.104,
1996-09,0.159,
1996-10,0.117,
1996-11,0.116,
1996-12,0.119,
1997-01,0.122,
1997-02,0.135,
1997-03,0.086,
1997-04,0.105,
1997-05,0.108,
1997-06,0.105,
1997-07,0.100,
1997-08,0.110,
1997-09,0.122,
1997-10,0.097,
1997-11,0.101,
1997-12,0.123,
1998-01,0.076,
1998-02,0.084,
1998-03,0.081,
1998-04,0.083,
1998-05,0.097,
1998-06,0.085,
1998-07,0.089,
1998-08,0.126,
1998-09,0.125,
1998-10,0.130,
1998-11,0.208,
1998-12,0.163,
1999-01,0.201,
1999-02,0.166,
1999-03,0.149,
1999-04,0.138,
1999-05,0.151,
1999-06,0.147,
1999-07,0.143,
1999-08,0.133,
1999-09,0.149,
1999-10,0.134,
1999-11,0.123,
1999-12,0.119,
2000-01,0.178,
2000-02,0.166,
2000-03,0.165,
2000-04,0.168,
2000-05,0.154,
2000-06,0.168,
2000-07,0.145,
2000-08,0.124,
2000-09,0.993,
2000-10,0.961,
2000-11,0.967,
2000-12,1.033,
2001-01,0.145,
2001-02,0.169,
2001-03,0.189,
2001-04,0.179,
2001-05,0.129,
2001-06,0.138,
2001-07,0.133,
2001-08,0.150,
2001-09,0.170,
2001-10,0.179,
2001-11,0.185,
2001-12,0.249,
2002-01,0.218,
2002-02,0.190,
2002-03,0.175,
2002-04,0.200,
2002-05,0.428,
2002-06,0.463,
2002-07,0.412,
2002-08,0.427,
2002-09,0.443,
2002-10,0.426,
2002-11,0.435,
2002-12,0.424,
2003-01,0.406,
2003-02,0.464,
2003-03,0.482,
2003-04,0.456,
2003-05,0.463,
2003-06,0.462,
2003-07,0.467,
2003-08,0.508,
2003-09,0.485,
2003-10,0.451,
2003-11,0.424,
2003-12,0.487,
2004-01,0.492,
2004-02,0.456,
2004-03,0.410,
2004-04,0.341,
2004-05,0.372,
2004-06,0.508,
2004-07,0.440,
2004-08,0.376,
2004-09,0.453,
2004-10,0.408,
2004-11,0.362,
2004-12,0.421,
2005-01,0.459,
2005-02,0.425,
2005-03,0.473,
2005-04,0.331,
2005-05,0.318,
2005-06,0.327,
2005-07,0.353,
2005-08,0.405,
2005-09,0.415,
2005-10,0.350,
2005-11,0.404,
2005-12,0.906,
2006-01,0.987,
2006-02,1.010,
2006-03,1.003,
2006-04,0.997,
2006-05,0.901,
2006-06,0.916,
2006-07,0.853,
2006-08,0.442,
2006-09,0.465,
2006-10,0.482,
2006-11,0.502,
2006-12,0.576,
2007-01,0.556,
2007-02,0.573,
2007-03,0.999,
2007-04,1.010,
2007-05,1.064,
2007-06,1.222,
2007-07,1.216,
2007-08,1.145,
2007-09,1.259,
2007-10,1.213,
2007-11,1.278,
2007-12,1.390,
2008-01,1.326,
2008-02,1.296,
2008-03,1.353,
2008-04,1.336,
2008-05,1.515,
2008-06,1.615,
2008-07,1.624,
2008-08,1.673,
2008-09,1.672,
2008-10,1.562,
2008-11,1.549,
2008-12,1.498,
2009-01,1.580,
2009-02,1.592,
2009-03,1.162,
2009-04,1.233,
2009-05,1.260,
2009-06,1.214,
2009-07,1.266,
2009-08,1.292,
2009-09,1.246,
2009-10,1.254,
2009-11,1.161,
2009-12,1.279,
2010-01,1.229,
2010-02,1.171,
2010-03,1.279,
2010-04,1.226,
2010-05,1.191,
2010-06,1.191,
2010-07,1.251,
2010-08,1.311,
2010-09,1.440,
2010-10,1.582,
2010-11,1.564,
2010-12,1.652,
2011-01,1.595,
2011-02,1.652,
2011-03,1.604,
2011-04,1.667,
2011-05,1.555,
2011-06,1.702,
2011-07,1.846,
2011-08,1.839,
2011-09,1.857,
2011-10,1.905,
2011-11,1.860,
2011-12,1.913,
2012-01,1.962,
2012-02,1.716,
2012-03,1.887,
2012-04,1.910,
2012-05,1.814,
2012-06,1.939,
2012-07,1.871,
2012-08,1.928,
2012-09,1.957,
2012-10,2.185,
2012-11,1.922,
2012-12,2.220,
2013-01,2.407,
2013-02,2.330,
2013-03,2.368,
2013-04,2.393,
2013-05,2.491,
2013-06,2.198,
2013-07,1.988,
2013-08,2.102,
2013-09,2.130,
2013-10,2.221,
2013-11,2.287,
2013-12,2.459,
2014-01,2.587,
2014-02,2.766,
2014-03,3.164,
2014-04,2.929,
2014-05,2.632,
2014-06,2.604,
2014-07,2.582,
2014-08,2.602,
2014-09,2.523,
2014-10,2.501,
2014-11,2.551,
2014-12,2.444,
