"",BBK01.OEAH97N,BBK01.OEAH97N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:46,
2002-01,0.852,
2002-04,0.810,
2002-07,0.787,
2002-10,0.738,
2003-01,0.670,
2003-04,0.612,
2003-07,0.544,
2003-10,0.485,
2004-01,0.457,
2004-04,0.427,
2004-07,0.400,
2004-10,0.366,
2005-01,0.350,
2005-04,0.325,
2005-07,0.313,
2005-10,0.307,
2006-01,0.307,
2006-04,0.314,
2006-07,0.321,
2006-10,0.337,
2007-01,0.366,
2007-04,0.387,
2007-07,0.405,
2007-10,0.425,
2008-01,0.433,
2008-04,0.441,
2008-07,0.449,
2008-10,0.555,
2009-01,0.563,
2009-04,0.548,
2009-07,0.544,
2009-10,0.489,
2010-01,0.443,
2010-04,0.436,
2010-07,0.422,
2010-10,0.417,
2011-01,0.424,
2011-04,0.430,
2011-07,0.442,
2011-10,0.452,
2012-01,0.484,
2012-04,0.502,
2012-07,0.506,
2012-10,0.482,
2013-01,0.448,
2013-04,0.419,
2013-07,0.381,
2013-10,0.360,
2014-01,0.349,
2014-04,0.339,
2014-07,0.329,
