"",BBK01.OEHM06R,BBK01.OEHM06R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:00,
2002-01,0.020,
2002-04,0.020,
2002-07,0.020,
2002-10,0.020,
2003-01,0.019,
2003-04,0.019,
2003-07,0.019,
2003-10,0.018,
2004-01,0.018,
2004-04,0.018,
2004-07,0.018,
2004-10,0.018,
2005-01,0.029,
2005-04,0.024,
2005-07,0.025,
2005-10,0.025,
2006-01,0.028,
2006-04,0.030,
2006-07,0.035,
2006-10,0.035,
2007-01,0.036,
2007-04,0.039,
2007-07,0.045,
2007-10,0.045,
2008-01,0.047,
2008-04,0.046,
2008-07,0.048,
2008-10,0.048,
2009-01,0.047,
2009-04,0.038,
2009-07,0.038,
2009-10,0.042,
2010-01,0.039,
2010-04,0.039,
2010-07,0.045,
2010-10,0.045,
2011-01,0.037,
2011-04,0.037,
2011-07,0.027,
2011-10,0.022,
2012-01,0.022,
2012-04,0.022,
2012-07,0.018,
2012-10,0.013,
2013-01,0.012,
2013-04,0.013,
2013-07,0.013,
2013-10,0.013,
2014-01,0.014,
2014-04,0.014,
2014-07,0.009,
