"",BBK01.CEBO01,BBK01.CEBO01_FLAGS
"",Other deposits debtor: All sectors                    creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:34,
1991-01,92.0,
1991-04,92.1,
1991-07,91.8,
1991-10,95.3,
1992-01,94.9,
1992-04,98.7,
1992-07,101.1,
1992-10,95.6,
1993-01,97.5,
1993-04,95.9,
1993-07,98.3,
1993-10,104.4,
1994-01,109.0,
1994-04,106.8,
1994-07,109.0,
1994-10,115.2,
1995-01,121.4,
1995-04,123.8,
1995-07,124.2,
1995-10,116.6,
1996-01,118.0,
1996-04,114.2,
1996-07,115.1,
1996-10,127.9,
1997-01,133.0,
1997-04,129.5,
1997-07,129.5,
1997-10,126.5,
1998-01,128.1,
1998-04,126.4,
1998-07,128.0,
1998-10,126.2,
1999-01,128.7,
1999-04,129.8,
1999-07,130.5,
1999-10,129.1,
2000-01,135.5,
2000-04,133.6,
2000-07,134.0,
2000-10,124.9,
2001-01,135.3,
2001-04,128.3,
2001-07,128.8,
2001-10,129.9,
2002-01,125.4,
2002-04,128.7,
2002-07,132.6,
2002-10,133.1,
2003-01,133.4,
2003-04,136.0,
2003-07,135.6,
2003-10,130.4,
2004-01,127.4,
2004-04,127.7,
2004-07,127.9,
2004-10,137.5,
2005-01,134.2,
2005-04,135.3,
2005-07,143.9,
2005-10,141.3,
2006-01,144.1,
2006-04,147.4,
2006-07,149.4,
2006-10,148.3,
2007-01,153.1,
2007-04,148.3,
2007-07,163.5,
2007-10,171.4,
2008-01,157.9,
2008-04,163.8,
2008-07,168.3,
2008-10,163.8,
2009-01,154.8,
2009-04,148.0,
2009-07,150.2,
2009-10,137.6,
2010-01,137.5,
2010-04,122.3,
2010-07,134.1,
2010-10,137.1,
2011-01,127.2,
2011-04,114.6,
2011-07,98.3,
2011-10,108.8,
2012-01,106.2,
2012-04,92.6,
2012-07,87.2,
2012-10,93.3,
2013-01,74.8,
2013-04,57.0,
2013-07,74.5,
2013-10,78.7,
2014-01,57.2,
