"",BBSF2.M.1.S.I0122.IMM01.I.F.MIZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0122.IMM01.I.F.MIZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Real estate funds / Sales receipts / Domestic credit institutions / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:52:22,
2009-09,61,
2009-10,1447,
2009-11,12,
2009-12,76,
2010-01,62,
2010-02,25,
2010-03,7,
2010-04,19,
2010-05,7,
2010-06,40,
2010-07,42,
2010-08,12,
2010-09,14,
2010-10,333,
2010-11,39,
2010-12,108,
2011-01,34,
2011-02,15,
2011-03,32,
2011-04,83,
2011-05,64,
2011-06,94,
2011-07,124,
2011-08,127,
2011-09,13,
2011-10,26,
2011-11,299,
2011-12,149,
2012-01,17,
2012-02,40,
2012-03,82,
2012-04,68,
2012-05,145,
2012-06,131,
2012-07,79,
2012-08,121,
2012-09,76,
2012-10,70,
2012-11,178,
2012-12,457,
2013-01,201,
2013-02,68,
2013-03,75,
2013-04,29,
2013-05,132,
2013-06,104,
2013-07,30,
2013-08,217,
2013-09,164,
2013-10,58,
2013-11,87,
2013-12,352,
2014-01,96,
2014-02,78,
2014-03,36,
2014-04,64,
2014-05,92,
2014-06,45,
2014-07,88,
2014-08,12,
2014-09,94,
2014-10,120,
2014-11,83,
