"",BBFN1.M.DE.N.1.L.IE.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.IE.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from credit terms used / Total / Ireland,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:10:46,
1994-07,0.354,
1994-08,0.341,
1994-09,0.378,
1994-10,0.379,
1994-11,0.410,
1994-12,0.405,
1995-01,0.397,
1995-02,0.420,
1995-03,0.440,
1995-04,0.411,
1995-05,0.424,
1995-06,0.454,
1995-07,0.447,
1995-08,0.410,
1995-09,0.464,
1995-10,0.454,
1995-11,0.494,
1995-12,0.441,
1996-01,0.416,
1996-02,0.432,
1996-03,0.415,
1996-04,0.412,
1996-05,0.417,
1996-06,0.387,
1996-07,0.352,
1996-08,0.355,
1996-09,0.380,
1996-10,0.411,
1996-11,0.441,
1996-12,0.456,
1997-01,0.413,
1997-02,0.411,
1997-03,0.456,
1997-04,0.418,
1997-05,0.448,
1997-06,0.464,
1997-07,0.454,
1997-08,0.461,
1997-09,0.533,
1997-10,0.588,
1997-11,0.571,
1997-12,0.531,
1998-01,0.467,
1998-02,0.468,
1998-03,0.477,
1998-04,0.494,
1998-05,0.579,
1998-06,0.567,
1998-07,0.493,
1998-08,0.452,
1998-09,0.444,
1998-10,0.474,
1998-11,0.475,
1998-12,0.519,
1999-01,0.415,
1999-02,0.478,
1999-03,0.628,
1999-04,0.631,
1999-05,0.632,
1999-06,0.846,
1999-07,0.822,
1999-08,0.623,
1999-09,0.666,
1999-10,0.696,
1999-11,0.761,
1999-12,0.843,
2000-01,0.727,
2000-02,0.721,
2000-03,0.717,
2000-04,0.777,
2000-05,0.751,
2000-06,0.834,
2000-07,0.852,
2000-08,0.797,
2000-09,0.855,
2000-10,0.866,
2000-11,0.864,
2000-12,1.123,
2001-01,1.038,
2001-02,0.946,
2001-03,1.077,
2001-04,1.514,
2001-05,1.330,
2001-06,1.767,
2001-07,1.156,
2001-08,1.061,
2001-09,1.068,
2001-10,1.274,
2001-11,1.187,
2001-12,1.125,
2002-01,1.116,
2002-02,1.042,
2002-03,0.977,
2002-04,1.026,
2002-05,0.909,
2002-06,0.842,
2002-07,0.846,
2002-08,0.807,
2002-09,0.821,
2002-10,0.919,
2002-11,0.940,
2002-12,0.920,
2003-01,1.365,
2003-02,0.849,
2003-03,0.946,
2003-04,0.992,
2003-05,0.899,
2003-06,0.947,
2003-07,1.054,
2003-08,0.896,
2003-09,0.980,
2003-10,1.007,
2003-11,0.995,
2003-12,1.266,
2004-01,1.368,
2004-02,0.992,
2004-03,1.006,
2004-04,0.810,
2004-05,0.822,
2004-06,0.889,
2004-07,0.801,
2004-08,0.773,
2004-09,0.853,
2004-10,0.896,
2004-11,0.888,
2004-12,1.041,
2005-01,1.211,
2005-02,0.811,
2005-03,0.787,
2005-04,0.888,
2005-05,0.783,
2005-06,0.924,
2005-07,0.914,
2005-08,0.822,
2005-09,0.964,
2005-10,0.965,
2005-11,0.861,
2005-12,1.101,
2006-01,1.197,
2006-02,0.888,
2006-03,0.898,
2006-04,0.880,
2006-05,0.861,
2006-06,1.093,
2006-07,0.998,
2006-08,0.917,
2006-09,1.015,
2006-10,0.954,
2006-11,0.906,
2006-12,1.147,
2007-01,1.340,
2007-02,1.045,
2007-03,1.094,
2007-04,0.969,
2007-05,0.859,
2007-06,1.014,
2007-07,1.013,
2007-08,1.034,
2007-09,0.967,
2007-10,1.116,
2007-11,1.085,
2007-12,1.215,
2008-01,1.210,
2008-02,1.132,
2008-03,1.240,
2008-04,1.241,
2008-05,1.278,
2008-06,1.376,
2008-07,1.421,
2008-08,1.288,
2008-09,1.454,
2008-10,1.614,
2008-11,1.601,
2008-12,1.877,
2009-01,2.478,
2009-02,2.179,
2009-03,2.358,
2009-04,2.022,
2009-05,2.098,
2009-06,2.162,
2009-07,2.111,
2009-08,1.888,
2009-09,2.041,
2009-10,2.055,
2009-11,2.047,
2009-12,2.243,
2010-01,2.842,
2010-02,2.479,
2010-03,2.393,
2010-04,2.365,
2010-05,2.289,
2010-06,2.419,
2010-07,2.457,
2010-08,2.333,
2010-09,2.331,
2010-10,2.362,
2010-11,2.383,
2010-12,2.697,
2011-01,2.694,
2011-02,2.574,
2011-03,2.604,
2011-04,2.505,
2011-05,2.486,
2011-06,2.795,
2011-07,2.881,
2011-08,2.736,
2011-09,2.788,
2011-10,2.908,
2011-11,3.141,
2011-12,2.992,
2012-01,2.534,
2012-02,2.327,
2012-03,2.289,
2012-04,2.274,
2012-05,2.258,
2012-06,2.485,
2012-07,2.558,
2012-08,2.414,
2012-09,2.478,
2012-10,2.460,
2012-11,2.628,
2012-12,2.675,
2013-01,2.745,
2013-02,2.534,
2013-03,2.462,
2013-04,2.388,
2013-05,2.465,
2013-06,2.495,
2013-07,2.584,
2013-08,2.390,
2013-09,2.531,
2013-10,2.669,
2013-11,2.668,
2013-12,2.865,
2014-01,2.618,
2014-02,2.547,
2014-03,2.638,
2014-04,2.701,
2014-05,2.616,
2014-06,2.624,
2014-07,2.634,
2014-08,2.585,
2014-09,2.679,
2014-10,2.711,
2014-11,2.805,
2014-12,2.807,
