"",BBK01.OEHM05N,BBK01.OEHM05N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:41:52,
2002-01,0.074,
2002-04,0.074,
2002-07,0.079,
2002-10,0.079,
2003-01,0.086,
2003-04,0.086,
2003-07,0.086,
2003-10,0.076,
2004-01,0.077,
2004-04,0.073,
2004-07,0.071,
2004-10,0.071,
2005-01,0.071,
2005-04,0.074,
2005-07,0.074,
2005-10,0.074,
2006-01,0.071,
2006-04,0.032,
2006-07,0.032,
2006-10,0.032,
2007-01,0.029,
2007-04,0.030,
2007-07,0.026,
2007-10,0.026,
2008-01,0.021,
2008-04,0.022,
2008-07,0.031,
2008-10,0.024,
2009-01,0.025,
2009-04,0.048,
2009-07,0.044,
2009-10,0.039,
2010-01,0.039,
2010-04,0.041,
2010-07,0.037,
2010-10,0.037,
2011-01,0.041,
2011-04,0.035,
2011-07,0.017,
2011-10,0.020,
2012-01,0.020,
2012-04,0.020,
2012-07,0.020,
2012-10,0.017,
2013-01,0.016,
2013-04,0.016,
2013-07,0.016,
2013-10,0.018,
2014-01,0.017,
2014-04,0.012,
2014-07,0.012,
